,RES,Load,Mandatory Hydro,Total FRR,total_imports,total_esxports,Holidays,IsWeekend,Day_ahead_Balancing_diff
2021-08-15 00:00:00,1820.0,5515.5,50.0,914.0,599.0,533.0,1,1,57.1234329525
2021-08-15 01:00:00,1930.0,5299.0,50.0,939.0,735.0,337.0,1,1,79.356281585
2021-08-15 02:00:00,2000.0,5127.5,50.0,949.0,897.0,315.0,1,1,66.73129305
2021-08-15 03:00:00,2035.0,5038.0,63.0,939.0,1041.0,295.0,1,1,76.99
2021-08-15 04:00:00,2055.0,4951.5,76.0,1079.0,1096.0,293.0,1,1,65.9725000025
2021-08-15 05:00:00,2105.0,4880.5,117.5,1384.0,1120.0,294.0,1,1,48.169082995
2021-08-15 06:00:00,2435.0,5053.5,185.0,1474.0,1100.0,297.0,1,1,50.87137704999999
2021-08-15 07:00:00,3055.0,5346.5,213.0,1499.0,882.0,420.0,1,1,31.875812247500008
2021-08-15 08:00:00,3715.0,5646.5,200.0,1479.0,600.0,575.0,1,1,59.4115261625
2021-08-15 09:00:00,4145.0,6011.5,168.0,1459.0,477.0,905.0,1,1,78.4981072525
2021-08-15 10:00:00,4375.0,6282.0,152.0,1454.0,450.0,931.0,1,1,85.485
2021-08-15 11:00:00,4470.0,6417.0,151.0,1444.0,425.0,965.0,1,1,72.82571787500001
2021-08-15 12:00:00,4440.0,6393.5,130.0,1409.0,404.0,979.0,1,1,71.91777539750001
2021-08-15 13:00:00,4300.0,6289.0,111.0,1399.0,413.0,922.0,1,1,33.11057929500001
2021-08-15 14:00:00,4020.0,6247.5,161.0,1449.0,419.0,936.0,1,1,-3.57062224500001
2021-08-15 15:00:00,3580.0,6261.5,346.0,1499.0,398.0,989.0,1,1,-21.975381025000004
2021-08-15 16:00:00,2925.0,6275.5,668.0,1544.0,301.0,1190.0,1,1,-55.60381882499999
2021-08-15 17:00:00,2165.0,6240.5,1004.0,1574.0,272.0,1174.0,1,1,-35.15798692499999
2021-08-15 18:00:00,1635.0,6299.0,1314.0,1629.0,225.0,1205.0,1,1,-28.219908979999985
2021-08-15 19:00:00,1455.0,6630.5,1476.5,1624.0,265.0,1090.0,1,1,19.302691350000003
2021-08-15 20:00:00,1345.0,6651.0,1399.0,1584.0,340.0,1034.0,1,1,29.698979120000004
2021-08-15 21:00:00,1265.0,6377.0,1051.0,1614.0,400.0,919.0,1,1,53.60403282749999
2021-08-15 22:00:00,1235.0,5977.0,616.5,1584.0,385.0,903.0,1,1,58.1133642625
2021-08-15 23:00:00,1230.0,5565.0,263.5,1224.0,584.0,655.0,1,1,56.43073303500001
2021-08-16 00:00:00,1260.0,5244.0,76.0,864.0,545.0,626.0,0,0,44.733231055000005
2021-08-16 01:00:00,1315.0,5080.5,76.0,889.0,885.0,304.0,0,0,22.100505497499995
2021-08-16 02:00:00,1365.0,4965.0,76.0,914.0,824.0,344.0,0,0,41.432435555
2021-08-16 03:00:00,1405.0,4940.5,89.0,909.0,962.0,298.0,0,0,35.110000025000005
2021-08-16 04:00:00,1430.0,4987.0,102.0,1119.0,942.0,280.0,0,0,16.6133236775
2021-08-16 05:00:00,1510.0,5231.0,151.5,1414.0,875.0,278.0,0,0,14.077252779999997
2021-08-16 06:00:00,1825.0,5839.0,235.5,1444.0,650.0,349.0,0,0,10.951756169999996
2021-08-16 07:00:00,2420.0,6507.5,272.0,1379.0,414.0,387.0,0,0,20.36323153250001
2021-08-16 08:00:00,3065.0,7025.0,259.0,1349.0,199.0,469.0,0,0,32.2107899225
2021-08-16 09:00:00,3510.0,7282.5,227.0,1319.0,247.0,568.0,0,0,31.80008187749999
2021-08-16 10:00:00,3740.0,7516.5,211.0,1319.0,285.0,699.0,0,0,28.39402149499999
2021-08-16 11:00:00,3805.0,7752.0,205.0,1329.0,321.0,760.0,0,0,29.072912485000003
2021-08-16 12:00:00,3755.0,7861.0,184.0,1324.0,346.0,745.0,0,0,26.27901769750001
