,Total Activated Balancing Energy UP (MWh),Total Activated Balancing Energy Down (MWh),Total Activated Balancing Energy (MWh),Imbalance Price  (€/MWh),mFRR Price UP (€/MWh),mFRR Price Down (€/MWh),Uplift Account 1 (€/MWh),Uplift Account 2 (€/MWh),Uplift Account 3 (€/MWh),RES,Load,Mandatory Hydro,Total FRR,Day_ahead_price,Day_ahead_Balancing_diff,Diff_direction,Date
2021-08-15 00:00:00,64.6963,162.7044725,-98.00817250000001,38.0365670475,141.39,40.7625,2.7385476725,0.662670305,5.48114178,1820.0,5515.5,50.0,914.0,95.16,57.123432952499996,1,2021-08-15 00:00:00
2021-08-15 01:00:00,47.823965,117.16265,-69.33868500000001,23.803718415,86.92750000000001,26.3325,2.3758374875,1.0988136525,2.7543496524999997,1930.0,5299.0,50.0,939.0,103.16,79.356281585,1,2021-08-15 01:00:00
2021-08-15 02:00:00,37.976322499999995,56.592600000000004,-18.616277500000002,25.17870695,27.825,0.01,2.1430692450000004,1.2019179125,3.21349915,2000.0,5127.5,50.0,949.0,91.91,66.73129305,1,2021-08-15 02:00:00
2021-08-15 03:00:00,36.12999,105.8145925,-69.6846025,0.01,28.5925,0.01,2.0432321925,1.1170853575000002,3.0797454325,2035.0,5038.0,63.0,939.0,77.0,76.99,1,2021-08-15 03:00:00
2021-08-15 04:00:00,34.597,90.71128999999999,-56.11429,17.8274999975,28.5925,17.8275,2.2273995125,1.1562303775,2.3835758625000003,2055.0,4951.5,76.0,1079.0,83.8,65.9725000025,1,2021-08-15 04:00:00
2021-08-15 05:00:00,23.3848675,88.88266,-65.4977925,37.320917005,21.475,37.6525,2.41537267,1.49806486,0.7637115775,2105.0,4880.5,117.5,1384.0,85.49,48.169082995,1,2021-08-15 05:00:00
2021-08-15 06:00:00,56.13575,116.949175,-60.813424999999995,32.928622950000005,112.3875,33.087500000000006,2.53694407,1.597660635,3.9280552600000003,2435.0,5053.5,185.0,1474.0,83.8,50.87137704999999,1,2021-08-15 06:00:00
2021-08-15 07:00:00,62.005892499999995,131.0681125,-69.06222,60.0541877525,82.55499999999999,61.652499999999996,2.72300804,0.9808917675,2.221637225,3055.0,5346.5,213.0,1499.0,91.93,31.875812247500008,1,2021-08-15 07:00:00
2021-08-15 08:00:00,32.4369225,132.7304175,-100.29349500000001,45.5084738375,89.16,48.1425,2.2466365699999997,1.604951615,2.9263835975,3715.0,5646.5,200.0,1479.0,104.92,59.4115261625,1,2021-08-15 08:00:00
2021-08-15 09:00:00,31.486835,130.38788,-98.90104500000001,13.4018927475,0.0,14.975,1.7864503575,1.2951121774999999,2.8439919225,4145.0,6011.5,168.0,1459.0,91.9,78.4981072525,1,2021-08-15 09:00:00
2021-08-15 10:00:00,38.6034875,151.15693000000002,-112.5534425,0.005,142.1,0.005,1.623987825,1.2090612475,3.6878857825000004,4375.0,6282.0,152.0,1454.0,85.49,85.485,1,2021-08-15 10:00:00
2021-08-15 11:00:00,43.6702275,147.3610975,-103.69087,13.984282125,106.57499999999999,14.9825,1.68388895,1.2606190449999999,3.4247404925000002,4470.0,6417.0,151.0,1444.0,86.81,72.82571787500001,1,2021-08-15 11:00:00
2021-08-15 12:00:00,39.6727975,135.14663,-95.4738325,14.8922246025,27.4625,14.98,1.6870373975000001,1.06963229,2.269158285,4440.0,6393.5,130.0,1409.0,86.81,71.91777539750001,1,2021-08-15 12:00:00
2021-08-15 13:00:00,55.5398099975,134.9214775,-79.38166750250001,52.789420705,123.4425,54.667500000000004,1.9844333024999998,1.20834902,2.8226923125,4300.0,6289.0,111.0,1399.0,85.9,33.11057929500001,1,2021-08-15 13:00:00
2021-08-15 14:00:00,76.91093749999999,80.4801,-3.569162500000001,87.60062224500001,101.07000000000001,57.6725,2.3128200574999997,1.33781739,2.9842946475000005,4020.0,6247.5,161.0,1449.0,84.03,-3.57062224500001,0,2021-08-15 14:00:00
2021-08-15 15:00:00,115.2333349975,82.92261,32.3107249975,107.465381025,142.47500000000002,58.2525,2.7380197225,1.6096266425,5.211984317500001,3580.0,6261.5,346.0,1499.0,85.49,-21.975381025000004,0,2021-08-15 15:00:00
2021-08-15 16:00:00,140.41747,69.056975,71.360495,144.823818825,138.52499999999998,1.0174999999999998,3.4809263625000004,1.1703742025000001,6.6138884825,2925.0,6275.5,668.0,1544.0,89.22,-55.60381882499999,0,2021-08-15 16:00:00
2021-08-15 17:00:00,132.69735,65.0916325,67.6057175,130.597986925,116.64,34.62,3.7071185275,1.2382251524999999,4.1810082725,2165.0,6240.5,1004.0,1574.0,95.44,-35.15798692499999,0,2021-08-15 17:00:00
2021-08-15 18:00:00,122.2928625,78.1009225,44.19194000000001,132.27990898,138.77,86.85499999999999,3.764813905,1.388286885,3.267681545,1635.0,6299.0,1314.0,1629.0,104.06,-28.219908979999985,0,2021-08-15 18:00:00
2021-08-15 19:00:00,71.58134,94.670435,-23.089095,85.61730865,81.8,76.72749999999999,3.7929625375000002,1.7233558275,3.2289816625,1455.0,6630.5,1476.5,1624.0,104.92,19.302691350000003,1,2021-08-15 19:00:00
2021-08-15 20:00:00,31.23556,89.743825,-58.508265,75.44102088,0.0,81.33,4.229256625,2.1199900400000002,1.67869037,1345.0,6651.0,1399.0,1584.0,105.14,29.698979120000004,1,2021-08-15 20:00:00
2021-08-15 21:00:00,43.7595525,128.737865,-84.97831250000002,71.8359671725,0.0,74.1925,4.1930571975,2.26485803,2.0350017825,1265.0,6377.0,1051.0,1614.0,125.44,53.60403282749999,1,2021-08-15 21:00:00
2021-08-15 22:00:00,46.465165,130.46677499999998,-84.00161,74.5166357375,62.48,78.35,3.6630146825,1.2657362825,1.2167566,1235.0,5977.0,616.5,1584.0,132.63,58.1133642625,1,2021-08-15 22:00:00
2021-08-15 23:00:00,43.75477,128.74006500000002,-84.98529500000001,56.56926696499999,87.925,60.787499999999994,3.43648198,1.1426498225,2.4811638150000004,1230.0,5565.0,263.5,1224.0,113.0,56.43073303500001,1,2021-08-15 23:00:00
2021-08-16 00:00:00,14.284785,102.6492575,-88.36447249999999,65.196768945,0.0,65.905,2.8288372624999996,0.9600831224999999,0.25642185,1260.0,5244.0,76.0,864.0,109.93,44.733231055000005,1,2021-08-16 00:00:00
2021-08-16 01:00:00,26.6055275,66.455285,-39.8497575,69.82949450250001,40.01,69.86,2.5729207225,0.945361465,1.316488095,1315.0,5080.5,76.0,889.0,91.93,22.100505497499995,1,2021-08-16 01:00:00
2021-08-16 02:00:00,68.6757,83.47677250000001,-14.8010725,42.477564445,160.04,2.475,2.3574500575000004,1.0274050074999999,8.210732825000001,1365.0,4965.0,76.0,914.0,83.91,41.432435555,1,2021-08-16 02:00:00
2021-08-16 03:00:00,78.5687825,88.8210725,-10.252289999999999,40.009999975,160.04,0.0,2.4179280625,1.00138564,10.080709075000001,1405.0,4940.5,89.0,909.0,75.12,35.110000025000005,1,2021-08-16 03:00:00
2021-08-16 04:00:00,89.041165,93.5437,-4.502535,58.4366763225,160.04,18.4525,2.6000714425,1.148149485,9.836331605,1430.0,4987.0,102.0,1119.0,75.05,16.6133236775,1,2021-08-16 04:00:00
2021-08-16 05:00:00,70.2402875,119.70239500000001,-49.462107499999995,65.86274722,120.03,65.9025,2.8078527275,1.6899482725,4.645891639999999,1510.0,5231.0,151.5,1414.0,79.94,14.077252779999995,1,2021-08-16 05:00:00
2021-08-16 06:00:00,34.87808,139.42611,-104.54802999999998,72.95824383,0.0,73.435,2.988335915,1.739165695,0.74952095,1825.0,5839.0,235.5,1444.0,83.91,10.951756169999996,1,2021-08-16 06:00:00
2021-08-16 07:00:00,34.13183,142.7778575,-108.6460275,73.3367684675,0.0,73.81,3.0425728149999998,1.4888822175,0.6793973950000001,2420.0,6507.5,272.0,1379.0,93.7,20.36323153250001,1,2021-08-16 07:00:00
2021-08-16 08:00:00,22.975915,139.063965,-116.08805,72.7292100775,0.0,73.485,2.7911647649999995,1.3917937200000001,0.44041188,3065.0,7025.0,259.0,1349.0,104.94,32.2107899225,1,2021-08-16 08:00:00
2021-08-16 09:00:00,33.643535,126.46471000000001,-92.82117500000001,73.1899181225,0.0,74.05,2.61311371,1.2540414325,0.72437957,3510.0,7282.5,227.0,1319.0,104.99,31.80008187749999,1,2021-08-16 09:00:00
2021-08-16 10:00:00,38.553425,116.292445,-77.73902,74.765978505,0.0,74.99,2.4801615999999997,1.2826831300000001,0.8777536724999999,3740.0,7516.5,211.0,1319.0,103.16,28.39402149499999,1,2021-08-16 10:00:00
2021-08-16 11:00:00,62.1273075,92.8674925,-30.740185,72.427087515,108.075,55.5725,2.40500003,1.06907029,4.05300278,3805.0,7752.0,205.0,1329.0,101.5,29.072912485000003,1,2021-08-16 11:00:00
2021-08-16 12:00:00,63.6962875,96.51034000000001,-32.8140525,75.22098230249999,143.65,76.11,2.5689513175000003,1.152844315,2.352681665,3755.0,7861.0,184.0,1324.0,101.5,26.27901769750001,1,2021-08-16 12:00:00
2021-08-16 13:00:00,58.750932500000005,111.51316999999999,-52.7622375,73.242248625,142.3,74.99,2.63222669,1.1643461875,2.3479669875,3590.0,7751.5,170.0,1274.0,104.95,31.707751375,1,2021-08-16 13:00:00
2021-08-16 14:00:00,65.986845,123.97625500000001,-57.98940999999999,73.922647255,142.7725,75.55,2.7995727775000003,1.327393805,2.6607812625,3270.0,7557.0,220.0,1379.0,104.99,31.067352744999994,1,2021-08-16 14:00:00
2021-08-16 15:00:00,72.9259,110.556575,-37.630675,92.13991225,108.29249999999999,76.11,2.754721945,1.552023785,2.7856977525,2765.0,7413.5,405.0,1444.0,113.0,20.860087750000005,1,2021-08-16 15:00:00
2021-08-16 16:00:00,75.0510175,104.5645175,-29.5135,87.20730119250001,48.230000000000004,78.9525,2.9571599400000004,1.1906168775,1.850213805,2045.0,7325.0,727.0,1539.0,112.48,25.272698807499992,1,2021-08-16 16:00:00
2021-08-16 17:00:00,109.8811875,105.9395475,3.9416400000000005,102.667132595,73.6825,82.35499999999999,3.32560139,1.4691676925000001,2.8237832075,1265.0,7194.5,1063.0,1569.0,113.0,10.332867405000002,1,2021-08-16 17:00:00
2021-08-16 18:00:00,146.32907,103.4283025,42.9007675,132.8565245525,125.9225,88.6,3.9576836025000004,1.4663817675,3.6462637350000002,740.0,7164.0,1398.0,1564.0,115.82,-17.036524552499998,0,2021-08-16 18:00:00
2021-08-16 19:00:00,152.553685,89.07354749999999,63.480137500000005,145.629853225,122.7325,29.669999999999998,4.066310405,1.4606867175,5.8699864900000005,595.0,7275.0,1585.5,1574.0,130.85,-14.77985322500001,0,2021-08-16 19:00:00
2021-08-16 20:00:00,174.6225425,123.4162025,51.20634,179.88160345,179.87,66.72999999999999,4.1430738725000005,1.722432395,8.855670940000001,540.0,7113.5,1483.0,1529.0,132.98,-46.90160345000001,0,2021-08-16 20:00:00
2021-08-16 21:00:00,97.4985025,51.694205,45.804297500000004,127.748276025,104.8475,0.0,3.7439107799999998,2.3919882,3.83566228,490.0,6654.5,1110.0,1574.0,140.91,13.161723975000001,1,2021-08-16 21:00:00
2021-08-16 22:00:00,103.91436250000001,38.441695,65.4726675,133.3678931,114.19999999999999,0.0,3.8384143575,2.4645851875,3.1744909625,465.0,6264.5,675.5,1494.0,122.95,-10.4178931,0,2021-08-16 22:00:00
2021-08-16 23:00:00,126.1472075,47.887355,78.2598525,130.6314367,112.37249999999999,64.2125,3.4242570725,1.74108601,2.28391503,450.0,5774.5,312.0,1159.0,126.92,-3.711436699999993,0,2021-08-16 23:00:00
2021-08-17 00:00:00,102.3528475,26.47454,75.8783075,111.5317989525,98.23000000000002,66.4425,3.1729481775,0.7539388475000001,1.164048185,460.0,5408.0,114.0,834.0,116.45,4.9182010475000055,1,2021-08-17 00:00:00
2021-08-17 01:00:00,103.720825,34.119935,69.60088999999999,101.1147377225,100.315,0.0,2.9446893899999997,0.7671250075000001,3.1143904825,500.0,5208.0,114.0,859.0,103.16,2.045262277500001,1,2021-08-17 01:00:00
2021-08-17 02:00:00,77.8709025,41.08131,36.7895925,95.39291553749999,93.015,0.0,2.7310985899999998,0.80202353,2.9387762525,545.0,5100.5,114.0,884.0,101.5,6.107084462500012,1,2021-08-17 02:00:00
2021-08-17 03:00:00,73.39318,35.04246,38.35072,93.93152276250001,91.285,0.0,2.6894030375,0.7683971,2.5527487,565.0,5085.0,127.0,914.0,94.25,0.3184772374999909,1,2021-08-17 03:00:00
2021-08-17 04:00:00,67.0512125,38.3610025,28.69021,94.5727643225,90.0375,16.755,2.6887987449999997,0.818254095,2.16793324,555.0,5131.5,140.0,1079.0,91.21,-3.362764322500013,0,2021-08-17 04:00:00
2021-08-17 05:00:00,74.81628500000001,58.1240575,16.692227499999998,90.44491855749999,92.45500000000001,69.41499999999999,2.81379132,1.187180685,1.089083845,605.0,5392.0,155.0,1344.0,90.55,0.10508144250000839,1,2021-08-17 05:00:00
2021-08-17 06:00:00,81.1450275,75.4148525,5.730175,99.6400291425,124.52499999999999,64.07,3.1324655299999997,1.1941134450000002,3.5680625325,900.0,5993.5,287.5,1404.0,91.9,-7.740029142499992,0,2021-08-17 06:00:00
2021-08-17 07:00:00,71.1666125,105.949515,-34.7829025,0.0,95.16499999999999,0.0,2.5675025475,1.1841140075,4.4732281875,1465.0,6717.0,405.0,1344.0,107.95,107.95,1,2021-08-17 07:00:00
2021-08-17 08:00:00,36.7856375,84.93045000000001,-48.1448125,20.0674328525,67.565,20.29,2.3550357025,1.1783772175,1.8915028600000001,2045.0,7286.5,392.0,1294.0,113.0,92.9325671475,1,2021-08-17 08:00:00
2021-08-17 09:00:00,31.828212500000003,74.434175,-42.6059625,79.2987498625,86.0,79.6225,2.140951385,1.090825715,0.3079987875,2465.0,7614.0,351.0,1289.0,113.0,33.7012501375,1,2021-08-17 09:00:00
2021-08-17 10:00:00,32.978277500000004,62.507625,-29.5293475,79.0127669725,86.0,79.11,2.1295560974999996,0.9795175225,0.4282501375,2705.0,7869.5,264.0,1304.0,104.96,25.94723302749999,1,2021-08-17 10:00:00
2021-08-17 11:00:00,43.6255225,70.930315,-27.304792499999998,78.795614435,67.185,79.0475,2.1874309875000004,0.9062668574999999,0.856123995,2815.0,8133.5,173.0,1324.0,104.92,26.124385564999997,1,2021-08-17 11:00:00
2021-08-17 12:00:00,41.611095,69.5579175,-27.9468225,78.107176555,46.065,79.04499999999999,2.4745219025,1.2041372825,0.8777394599999999,2825.0,8175.0,154.0,1279.0,104.97,26.862823445000004,1,2021-08-17 12:00:00
2021-08-17 13:00:00,45.345,78.45065249999999,-33.1056525,78.28676303750001,23.2225,79.04499999999999,2.55381876,1.1126647475,1.01258299,2720.0,8024.0,167.0,1274.0,120.12,41.833236962499996,1,2021-08-17 13:00:00
2021-08-17 14:00:00,34.949372499999996,58.3728675,-23.423495,76.97334333750001,49.519999999999996,77.6925,2.78810073,1.3121616550000001,1.0197154125,2490.0,7779.5,169.5,1374.0,118.58,41.60665666249999,1,2021-08-17 14:00:00
2021-08-17 15:00:00,82.9962375,58.7938375,24.202399999999997,118.3065293,124.455,77.175,3.3645327474999998,1.78118662,1.461647035,2065.0,7595.5,316.5,1439.0,124.49,6.183470700000001,1,2021-08-17 15:00:00
2021-08-17 16:00:00,109.750615,70.65401,39.096605000000004,108.27243982,106.71,58.6225,3.68204593,2.1723177299999996,1.7549226525,1450.0,7528.0,584.5,1504.0,132.24,23.967560180000007,1,2021-08-17 16:00:00
2021-08-17 17:00:00,134.5751675,104.51138,30.0637875,143.5109412,140.7675,78.31,4.0982055299999995,2.42934146,4.0535572675000004,845.0,7455.0,915.5,1534.0,142.87,-0.6409411999999861,1,2021-08-17 17:00:00
2021-08-17 18:00:00,105.290665,66.5293025,38.7613625,218.9599999,218.96,80.27250000000001,4.6214437525,2.6076239475,5.4193652850000005,510.0,7360.5,1298.0,1544.0,148.9,-70.05999990000001,0,2021-08-17 18:00:00
2021-08-17 19:00:00,104.15664000000001,37.14923,67.00741,218.9599999,218.96,86.19,4.4036165474999995,2.186719365,2.6968441425,450.0,7403.5,1467.0,1544.0,147.0,-71.95999990000001,0,2021-08-17 19:00:00
2021-08-17 20:00:00,90.357745,79.253345,11.1044,147.7574671575,218.96,81.38999999999999,3.9553649825000003,2.1520729125000004,5.4209099925,445.0,7234.0,1377.5,1474.0,125.38,-22.377467157500007,0,2021-08-17 20:00:00
2021-08-17 21:00:00,115.2670075,102.87159,12.3954175,182.8671997025,218.96,77.9225,3.882078215,1.7468720599999998,8.287492032500001,425.0,6741.5,928.0,1549.0,130.19,-52.67719970249999,0,2021-08-17 21:00:00
2021-08-17 22:00:00,115.738415,133.4187425,-17.6803275,106.11589176750002,218.96,68.5625,4.015772275,2.9178675925000004,10.0569236525,405.0,6403.0,409.5,1584.0,114.59,8.474108232499987,1,2021-08-17 22:00:00
