,Total Activated Balancing Energy UP (MWh),Total Activated Balancing Energy Down (MWh),Total Activated Balancing Energy (MWh),Imbalance Price  (€/MWh),mFRR Price UP (€/MWh),mFRR Price Down (€/MWh),Uplift Account 1 (€/MWh),Uplift Account 2 (€/MWh),Uplift Account 3 (€/MWh),Unnamed: 13,Unnamed: 14
2022-04-18 00:00:00,113.69126,11.19137,102.49989,344.4970322,344.27,0.0,8.01686475,2.45463436,0.20037936,,
2022-04-18 00:15:00,110.40469,13.19106,97.21363,345.9287908,345.87,0.0,7.68610763,2.48896609,5.1347131,,
2022-04-18 00:30:00,79.45001,36.83822,42.61179,344.5770077,344.27,0.0,6.66646627,2.68270645,16.43459726,,
2022-04-18 00:45:00,90.9035,34.0025,56.901,345.9411703,345.87,0.0,6.806393,2.69053061,12.92099376,,
2022-04-18 01:00:00,104.71153,11.6615,93.05003,373.4099999,373.41,0.0,7.84006535,0.63431513,-4.42504471,,
2022-04-18 01:15:00,73.63029,29.21459,44.4157,345.3197936,345.17,0.0,8.34668563,0.59174607,-6.05327704,,
2022-04-18 01:30:00,87.82809,18.30715,69.52094,344.5498748,344.27,0.0,7.89278307,4.13031326,8.27629835,,
2022-04-18 01:45:00,105.08324,14.67703,90.40621,373.4099999,373.41,122.67,8.20030899,4.23895581,7.2074675,,
2022-04-18 02:00:00,111.08013,31.99984,79.08029,345.2698396,345.17,122.28,3.26231465,3.62425041,13.29690742,,
2022-04-18 02:15:00,135.52548,29.36039,106.16509,373.4099999,373.41,0.0,2.16077395,3.63229869,13.00593737,,
2022-04-18 02:30:00,93.40474,13.40519,79.99955,345.2888346,345.17,0.0,2.65345726,3.64540967,5.19241371,,
2022-04-18 02:45:00,120.5612,15.77546,104.78574,373.4099999,373.41,0.0,2.03670577,3.67206877,9.11021225,,
2022-04-18 03:00:00,134.57227,29.43803,105.13424,373.4099999,373.41,0.0,0.0986656,4.28924558,15.03907163,,
2022-04-18 03:15:00,112.79547,24.15838,88.63709,345.2679023,345.17,0.0,1.29239342,4.24718451,8.91314944,,
2022-04-18 03:30:00,131.05242,19.07984,111.97258,373.4099999,373.41,0.0,-0.1282557,4.2771519,8.47628054,,
2022-04-18 03:45:00,140.00138,17.07166,122.92972,373.4099999,373.41,111.48,0.16926376,4.23481411,5.74575826,,
2022-04-18 04:00:00,194.51147,28.78739,165.72408,373.6099999,373.61,5.0,7.79168326,4.35399441,4.44844535,,
2022-04-18 04:15:00,190.0798,22.20467,167.87513,373.4099999,373.41,5.0,7.56598681,4.25261718,-2.17196807,,
2022-04-18 04:30:00,213.32065,12.22001,201.10064,373.6099999,373.61,5.0,7.81906946,2.83626022,-9.59016572,,
2022-04-18 04:45:00,149.33985,12.2435,137.09635,345.1615991,345.07,5.0,7.85275172,2.83143617,-8.21777215,,
2022-04-18 05:00:00,153.45369,15.834,137.61969,373.4099999,373.41,5.0,7.6228329,0.60088246,-6.2084765,,
2022-04-18 05:15:00,262.07032,10.551,251.51932,373.6099999,373.61,5.0,8.15411252,0.58054493,1.62862181,,
2022-04-18 05:30:00,229.86213,8.04217,221.81996,373.4099999,373.41,0.0,8.0075507,3.15474283,4.97730462,,
2022-04-18 05:45:00,194.93065,9.16667,185.76398,345.4373035,345.37,0.0,8.08111253,3.14630235,2.66394514,,
2022-04-18 06:00:00,156.24682,82.6964,73.55042,373.4099999,373.41,5.0,6.55856521,0.09622752,23.53386122,,
2022-04-18 06:15:00,212.71193,79.52526,133.18667,373.4099999,373.41,5.0,6.47043471,0.10330434,25.30041861,,
