,Imbalance Price  (€/MWh),Uplift Account 1 (€/MWh),RES,Load,Mandatory Hydro,Total FRR,Total_imports,Total_epxorts,Day_ahead_price,Day_ahead_Balancing_diff,Holidays,IsWeekend
2022-05-01 00:00:00,162.65494925,7.190630187499999,1480.0,3741.0,0.0,896.0,0.0,321.0,223.64,60.98505075,1,1
2022-05-01 01:00:00,386.66749990000005,9.164002307499999,1530.0,3621.5,0.0,906.0,0.0,512.0,232.77,-153.89749990000004,1,1
2022-05-01 02:00:00,418.2308372,9.2722397175,1585.0,3546.5,0.0,906.0,0.0,510.0,215.85,-202.3808372,1,1
2022-05-01 03:00:00,321.37845745,8.837912532499999,1655.0,3516.0,13.0,906.0,2.0,460.0,210.0,-111.37845744999998,1,1
2022-05-01 04:00:00,334.931815875,8.880369025,1705.0,3491.0,81.0,1091.0,0.0,419.0,215.85,-119.08181587499999,1,1
2022-05-01 05:00:00,335.16839925,9.053331445,1810.0,3537.5,171.0,1321.0,0.0,287.0,215.46,-119.70839924999999,1,1
2022-05-01 06:00:00,346.75838422500004,8.783511117500002,2145.0,3868.5,193.0,1426.0,0.0,466.0,215.46,-131.29838422500004,1,1
2022-05-01 07:00:00,344.49022035,7.78988901,2680.0,4369.5,168.0,1416.0,0.0,510.0,199.52,-144.97022035,1,1
2022-05-01 08:00:00,347.810539725,7.09734128,3300.0,4816.0,113.0,1461.0,0.0,460.0,202.37,-145.440539725,1,1
2022-05-01 09:00:00,347.7999999,5.7695286725,3805.0,5174.5,50.0,1511.0,37.0,529.0,199.0,-148.7999999,1,1
2022-05-01 10:00:00,346.5778229,5.5879829525,4125.0,5356.5,30.0,1521.0,164.0,406.0,194.73,-151.8478229,1,1
2022-05-01 11:00:00,346.57567625,5.461190645,4280.0,5377.5,23.0,1581.0,173.0,481.0,186.0,-160.57567625000001,1,1
2022-05-01 12:00:00,346.90904875,5.5139342575,4255.0,5160.0,21.0,1616.0,189.0,516.0,189.25,-157.65904875,1,1
2022-05-01 13:00:00,351.027118875,4.497353595,4045.0,4779.5,26.0,1616.0,187.0,594.0,189.42,-161.607118875,1,1
2022-05-01 14:00:00,350.454629675,4.605807335,3690.0,4481.0,13.0,1641.0,162.0,676.0,165.0,-185.45462967499998,1,1
2022-05-01 15:00:00,349.97516039999994,6.4858763925,3200.0,4357.5,8.0,1666.0,141.0,654.0,138.41,-211.56516039999994,1,1
2022-05-01 16:00:00,347.1584291749999,6.3973026375,2610.0,4386.5,34.0,1701.0,114.0,589.0,165.0,-182.15842917499992,1,1
2022-05-01 17:00:00,353.37589625,6.7685266275,2050.0,4520.5,198.5,1671.0,47.0,363.0,180.09,-173.28589624999998,1,1
