"Date,""MCP"",""Buy_Exports_GR-TR"",""Buy_HV_LOAD"",""Buy_LOSSES_LOAD"",""Buy_LV_LOAD"",""Buy_MV_LOAD"",""Sell_Imports_AL-GR"",""Sell_Imports_BG-GR"",""Sell_Imports_MK-GR"",""Sell_Imports_TR-GR"",""Sell__SUPPLY"",""Sell_Big Hydro_SUPPLY"",""Sell_Lignite_SUPPLY"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_Exports_GR-BG"",""Buy_Exports_GR-MK"",""Buy_Exports_GR-AL"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"",""Buy_PUMP_LOAD"",""Buy_Imports_IT-GR"",""Sell_Exports_GR-IT"",""Buy_CRETE LOAD_LOAD"",""Sell_CRETE CONVENTIONAL_SUPPLY"",""Sell_CRETE RENEWABLES_SUPPLY"""
2020-11-01 00:00:00,59.52,NULL,990.956,114.5,2196.744,811.47,180,700,150,116,0.158,NULL,531,1867.109,569.403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 01:00:00,59.01,NULL,1005.254,117,2041.648,789.15,215,700,150,116,0.173,NULL,531,1586.555,654.324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 02:00:00,59.01,NULL,1016.757,114.5,1910.677,765.821,202,700,150,116,0.176,NULL,531,1407.541,701.038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 03:00:00,59.01,NULL,1007.462,113,1907.743,762.879,202,700,150,116,0.174,NULL,531,1345.325,746.585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 04:00:00,59.01,NULL,1014.665,114.5,1958.272,761.87,202,700,150,116,0.169,NULL,531,1336.937,813.201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 05:00:00,59.01,NULL,1013.675,117.5,2088.853,771.893,186,700,150,116,0.151,26,531,1427.516,855.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 06:00:00,47.59,NULL,993.705,118,2422.879,819.234,190.007,700,150,116,0.155,26,531,1537.9,1102.756,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 07:00:00,55.97,NULL,975.164,116.5,2934.54,891.359,191,695,150,116,0.359,65,531,1543.885,1625.319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 08:00:00,59.01,NULL,980.176,116,3390.766,947.408,101,700,150,116,0.811,105,531,1588.916,2141.623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 09:00:00,41.01,NULL,981.635,118,3488.604,952.353,75,700,150,116,1.35,55,531,1338.386,2573.856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
