"Date,""Total Activated Balancing Energy UP"",""Total Activated Balancing Energy Down"",""Total Activated Balancing Energy"",""Imbalance Price"",""mFRR Price Down"""
2020-11-02 00:00:00,47.60308,86.33196,-38.72888,16.02882889,33.95
2020-11-02 00:15:00,57.545,87.19334,-29.64834,17.7914637,33.95
2020-11-02 00:30:00,20.61,77.54725,-56.93725,15.623477,22.5
2020-11-02 00:45:00,12.405,103.77663,-91.37163,17.49954803,23.26
2020-11-02 01:00:00,57.81723,32.31338,25.50385,91.22999998,37.67
2020-11-02 01:15:00,68.506,48.20576,20.30024,91.23,34.22
2020-11-02 01:30:00,41.682,111.23085,-69.54885,23.26,23.26
2020-11-02 01:45:00,45.598,102.42707,-56.82907,23.25999999,23.26
2020-11-02 02:00:00,58.3118,86.13108,-27.81928,23.17999999,23.18
2020-11-02 02:15:00,40.251,110.03106,-69.78006,23.17999999,23.18
2020-11-02 02:30:00,46.238,95.6863,-49.4483,23.18,23.18
2020-11-02 02:45:00,41.014,111.95847,-70.94447,23.17999999,23.18
2020-11-02 03:00:00,44.944,102.43359,-57.48959,23.25999999,23.26
2020-11-02 03:15:00,44.73293,101.73526,-57.00233,23.25999999,23.26
2020-11-02 03:30:00,38.37823,90.87777,-52.49954,23.25999999,23.26
2020-11-02 03:45:00,37.554,109.39051,-71.83651,23.25999999,23.26
2020-11-02 04:00:00,60.50084,47.54524,12.9556,91.22999999,30.72
2020-11-02 04:15:00,53.84,61.9097,-8.0697,21.61201034,30.72
2020-11-02 04:30:00,67.05593,35.48836,31.56757,91.22999998,31.61
2020-11-02 04:45:00,60.47381,31.1759,29.29791,91.22999999,37.67
2020-11-02 05:00:00,78.87183,17.03492,61.83691,91.22999998,37.67
2020-11-02 05:15:00,113.73871,0.46327,113.27544,89.07660021,0
2020-11-02 05:30:00,119.21256,25.20778,94.00478,97.34364768,37.67
2020-11-02 05:45:00,135.63911,49.75316,85.88595,99,31.61
2020-11-02 06:00:00,108.31602,189.54151,-81.22549,34.20677368,34.31
2020-11-02 06:15:00,157.36175,101.64925,55.7125,99.29999996,37.67
2020-11-02 06:30:00,188.18036,189.35629,-1.17592999999999,34.30999999,34.31
2020-11-02 06:45:00,198.85938,198.93155,-0.0721699999999998,34.30999999,34.31
2020-11-02 07:00:00,180.35689,117.53868,62.81821,100.7999999,28.61
2020-11-02 07:15:00,97.3543,95.73902,1.61528,99,28.61
2020-11-02 07:30:00,135.06844,91.87365,43.19479,100.6999999,28.61
2020-11-02 07:45:00,102.55018,130.02675,-27.47657,26.74702377,27.19
2020-11-02 08:00:00,122.236,88.59108,33.64492,99,25.89
2020-11-02 08:15:00,82.101,101.29811,-19.19711,24.14045719,24.72
2020-11-02 08:30:00,77.09914,83.0571,-5.95796,25.89,25.89
2020-11-02 08:45:00,75.9233,117.03457,-41.11127,25.88999999,25.89
2020-11-02 09:00:00,116.58495,95.22966,21.35529,99.29999995,20.95
2020-11-02 09:15:00,87.155,100.82238,-13.66738,20.95,20.95
2020-11-02 09:30:00,77.4673,99.71686,-22.24956,20.95,20.95
2020-11-02 09:45:00,120.21168,130.15922,-9.94754,20.95,20.95
2020-11-02 10:00:00,97.382,69.96525,27.41675,98.6,29.21
2020-11-02 10:15:00,108.01946,80.90556,27.1139,98.69999998,29.21
2020-11-02 10:30:00,74.40885,92.26312,-17.85427,29.20861621,29.21
2020-11-02 10:45:00,47.227,100.27328,-53.04628,29.20872547,29.21
2020-11-02 11:00:00,132.056,107.28529,24.77071,98.7,29.21
