"Date,""MCP"",""Buy_LV_LOAD"",""Buy_MV_LOAD"",""Buy_Big Hydro_SUPPLY"",""Buy_Natural Gas_SUPPLY"",""Buy_RES_SUPPLY"",""Sell_LV_LOAD"",""Sell_Big Hydro_SUPPLY"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Sell_Lignite_SUPPLY"",""Buy_PUMP_LOAD"",""Sell_MV_LOAD"",""Buy_Lignite_SUPPLY"",""Buy_HV_LOAD"",""Sell_HV_LOAD"",""Sell_PUMP_LOAD"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"""
2020-11-01 00:00:00,59.52,NULL,NULL,NULL,161.209,1.261,1.03,160,NULL,0.231,1.209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 01:00:00,59.11,NULL,NULL,NULL,NULL,0.599,0.576,NULL,NULL,0.023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 02:00:00,59.11,NULL,NULL,NULL,NULL,0.668,0.668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 03:00:00,59.11,NULL,NULL,NULL,NULL,0.762,0.762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 04:00:00,59.11,0.203,NULL,NULL,NULL,0.355,0.556,NULL,NULL,0.002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 05:00:00,59.01,NULL,NULL,NULL,NULL,0.842,0.842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 06:00:00,47.59,NULL,NULL,NULL,NULL,1.236,1,NULL,NULL,0.236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 07:00:00,53.43,NULL,NULL,NULL,NULL,7.021,1.151,NULL,5.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 08:00:00,59.01,NULL,NULL,NULL,NULL,1.916,0.855,NULL,NULL,1.061,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 09:00:00,41.01,NULL,NULL,NULL,NULL,2.354,1.397,NULL,NULL,0.957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
