"Date,""MCP"",""Buy_LV_LOAD"",""Buy_Natural Gas_SUPPLY"",""Buy_RES_SUPPLY"",""Sell_LV_LOAD"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_MV_LOAD"",""Sell_MV_LOAD"",""Sell_HV_LOAD"",""Buy_HV_LOAD"",""Sell_Big Hydro_SUPPLY"",""Buy_Lignite_SUPPLY"",""Sell_Lignite_SUPPLY"",""Buy_Big Hydro_SUPPLY"",""Buy_PUMP_LOAD"",""Sell_PUMP_LOAD"",""Buy_Exports_GR-IT"",""Sell_Imports_IT-GR"""
2020-11-01 00:00:00,59.52,NULL,NULL,3.632,0.31,NULL,3.322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 01:00:00,59.01,NULL,NULL,3.737,NULL,NULL,3.737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 02:00:00,59.21,NULL,NULL,0.837,NULL,NULL,0.837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 03:00:00,59.21,0.31,NULL,0.25,NULL,NULL,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 04:00:00,59.31,NULL,NULL,1.457,NULL,NULL,1.457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 05:00:00,59.01,NULL,NULL,1.559,0.15,NULL,1.409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 06:00:00,47.59,NULL,NULL,2.988,0.3,NULL,2.688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 07:00:00,55.97,NULL,NULL,6.186,0.47,NULL,5.716,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 08:00:00,59.01,NULL,NULL,5.18,0.16,NULL,5.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 09:00:00,41.01,NULL,NULL,5.373,0.69,NULL,4.683,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
