"Date,""MCP"",""Buy_LV_LOAD"",""Buy_PUMP_LOAD"",""Buy_Natural Gas_SUPPLY"",""Buy_RES_SUPPLY"",""Sell_LV_LOAD"",""Sell_Natural Gas_SUPPLY"",""Sell_RES_SUPPLY"",""Buy_Big Hydro_SUPPLY"",""Sell_Big Hydro_SUPPLY"",""Buy_MV_LOAD"",""Buy_HV_LOAD"",""Sell_MV_LOAD"",""Sell_HV_LOAD"",""Buy_Lignite_SUPPLY"",""Sell_Lignite_SUPPLY"",""Sell_Imports_IT-GR"",""Buy_Exports_GR-IT"""
2020-11-01 12:00:00,39.01,NULL,NULL,NULL,11.229,11.17,NULL,0.059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 13:00:00,27.01,NULL,NULL,NULL,7.468,7.452,NULL,0.016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 14:00:00,37.59,NULL,NULL,NULL,11.05,11.034,NULL,0.016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 15:00:00,54.26,NULL,NULL,NULL,6.479,6.439,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 16:00:00,59.01,NULL,NULL,NULL,3.48,3.12,NULL,0.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 17:00:00,100.3,NULL,NULL,9.693,NULL,9.62,NULL,0.073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 18:00:00,59.52,NULL,NULL,NULL,3.786,3.4,NULL,0.386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 19:00:00,65.76,NULL,NULL,NULL,3.661,3.48,NULL,0.181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 20:00:00,68.87,4.86,NULL,NULL,NULL,NULL,NULL,4.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 21:00:00,69.9,6.35,NULL,NULL,NULL,NULL,1.17,5.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 22:00:00,70.89,8.017,NULL,NULL,NULL,NULL,3.017,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-01 23:00:00,50,11.824,237.176,NULL,NULL,NULL,249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 12:00:00,51.03,NULL,NULL,NULL,2.279,1.774,NULL,0.505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 13:00:00,46.25,0.711,NULL,NULL,2.121,1.169,1.365,0.298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 14:00:00,54.03,2.189,NULL,NULL,2.17,0.13,NULL,4.229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 15:00:00,71.85,5.918,NULL,NULL,NULL,NULL,NULL,5.918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 16:00:00,89.92,14.057,NULL,NULL,2.868,NULL,16.804,0.121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-11-02 17:00:00,88.78,24.672,NULL,NULL,2.734,NULL,27.406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
