,Prediction,Real,Prediction_sign,Real_sign
2022-05-01 00:00:00,32.47824830071324,60.98505075,1,1
2022-05-01 01:00:00,18.65817541368384,-153.89749990000004,1,0
2022-05-01 02:00:00,18.866715284066203,-202.3808372,1,0
2022-05-01 03:00:00,21.35287010110297,-111.37845744999998,1,0
2022-05-01 04:00:00,16.936557318522077,-119.081815875,1,0
2022-05-01 05:00:00,-1.2097561036102917,-119.70839925,0,0
2022-05-01 06:00:00,52.51509732894115,-131.29838422500004,1,0
2022-05-01 07:00:00,5.052127973397055,-144.97022035,1,0
2022-05-01 08:00:00,-67.86410594910302,-145.440539725,0,0
2022-05-01 09:00:00,-143.42170701404402,-148.7999999,0,0
2022-05-01 10:00:00,-238.1993292416105,-151.8478229,0,0
2022-05-01 11:00:00,-255.40150373204418,-160.57567625,0,0
2022-05-01 12:00:00,-256.8168055357134,-157.65904875,0,0
2022-05-01 13:00:00,-201.67798351128673,-161.607118875,0,0
2022-05-01 14:00:00,-167.75507578283822,-185.454629675,0,0
2022-05-01 15:00:00,-136.0637968021691,-211.56516039999997,0,0
2022-05-01 16:00:00,9.26075805328676,-182.15842917499992,1,0
2022-05-01 17:00:00,38.04210089102208,-173.28589624999998,1,0
2022-05-01 18:00:00,31.687870379235296,-98.800665275,1,0
2022-05-01 19:00:00,54.11439759561763,-132.26384892499996,1,0
2022-05-01 20:00:00,25.452490042242662,49.00061897500001,1,1
2022-05-01 21:00:00,35.5936405758897,-36.097865249999984,1,0
2022-05-01 22:00:00,51.58333697342647,-95.68698095000002,1,0
2022-05-01 23:00:00,23.872324264433836,-146.97499989999997,1,0
2022-05-02 00:00:00,24.975941131977958,-287.5099999,1,0
2022-05-02 01:00:00,19.187985006529413,-182.34011372499995,1,0
2022-05-02 02:00:00,15.136846968279416,-135.005999175,1,0
2022-05-02 03:00:00,14.408515243161775,-140.83424957499997,1,0
2022-05-02 04:00:00,30.499802257330856,-140.82184140000004,1,0
2022-05-02 05:00:00,29.789909275124984,-138.44861562500003,1,0
2022-05-02 06:00:00,3.352501470441174,-116.34782602500005,1,0
2022-05-02 07:00:00,-8.647795006294125,8.719029124999992,0,1
2022-05-02 08:00:00,-52.163730397345596,24.80627910000001,0,1
2022-05-02 09:00:00,-111.98115970791902,-62.44029182499997,0,0
2022-05-02 10:00:00,-131.37968622334557,-117.81798645,0,0
2022-05-02 11:00:00,-140.61218982757345,-112.66453670000004,0,0
2022-05-02 12:00:00,-105.32255324823527,-115.5083361,0,0
2022-05-02 13:00:00,-29.59193075039706,-134.74484712499998,0,0
2022-05-02 14:00:00,-6.347135392397056,-135.77074165000005,0,0
2022-05-02 15:00:00,23.39231514792648,-116.20468282499996,1,0
2022-05-02 16:00:00,23.743374747904415,-119.164855075,1,0
2022-05-02 17:00:00,19.90797734314705,-146.03402649999998,1,0
2022-05-02 18:00:00,60.34309050124268,-104.89756717499996,1,0
2022-05-02 19:00:00,55.463458348794155,-3.1774998999999866,1,0
2022-05-02 20:00:00,80.4948187580295,-69.54356849999999,1,0
2022-05-02 21:00:00,58.653159141382375,-58.5346644,1,0
2022-05-02 22:00:00,48.571972432191195,-38.311285475000005,1,0
2022-05-02 23:00:00,33.078175481272055,99.802804075,1,1
2022-05-03 00:00:00,39.97151954291175,27.667749774999976,1,1
2022-05-03 01:00:00,25.906334093933797,-86.56839615000001,1,0
2022-05-03 02:00:00,22.772670902360275,-87.0669986,1,0
2022-05-03 03:00:00,23.185380394816153,-88.80686012500001,1,0
2022-05-03 04:00:00,38.65477459691915,-97.99615435,1,0
2022-05-03 05:00:00,46.55052150466914,-111.32458117500002,1,0
2022-05-03 06:00:00,43.446269616389735,-87.6212634,1,0
2022-05-03 07:00:00,32.016099482948526,-68.18218887499998,1,0
2022-05-03 08:00:00,1.8953817711323528,-9.423240024999984,1,0
2022-05-03 09:00:00,-26.86175769062501,59.730938175000006,0,1
2022-05-03 10:00:00,-65.68389958620588,167.9080636825,0,1
2022-05-03 11:00:00,-87.24529380010291,172.33334109999998,0,1
2022-05-03 12:00:00,-96.60812089172052,146.12871989,0,1
2022-05-03 13:00:00,-89.83359629788968,179.7903968975,0,1
2022-05-03 14:00:00,-74.45061349047793,185.4600000075,0,1
2022-05-03 15:00:00,-17.953511953970565,-100.63831567499996,0,0
2022-05-03 16:00:00,5.887666069948525,-233.334999875,1,0
2022-05-03 17:00:00,42.78436984875738,-274.839999775,1,0
2022-05-03 18:00:00,76.69925094388974,-264.62999979999995,1,0
2022-05-03 19:00:00,41.334720471691234,-230.71999987499996,1,0
2022-05-03 20:00:00,42.266028697125044,-82.03999989999994,1,0
2022-05-03 21:00:00,35.107933281000015,19.668721000000005,1,1
2022-05-03 22:00:00,44.515687483749986,-14.061392224999963,1,0
2022-05-03 23:00:00,41.28415981830882,-59.20314305000002,1,0
2022-05-04 00:00:00,36.97041523130148,-64.80489777500003,1,0
2022-05-04 01:00:00,26.08383296416177,-49.76865107499998,1,0
2022-05-04 02:00:00,29.09841715371322,-51.38194825000002,1,0
2022-05-04 03:00:00,30.78245402447058,-51.60552292500003,1,0
2022-05-04 04:00:00,31.14645147817647,-72.1354198,1,0
2022-05-04 05:00:00,30.876374849617644,-65.32648667500001,1,0
2022-05-04 06:00:00,33.283288829977955,-71.834459675,1,0
2022-05-04 07:00:00,38.38316865925004,9.901358567499956,1,1
2022-05-04 08:00:00,-6.989290980919122,68.22553269999997,0,1
2022-05-04 09:00:00,-46.516792029330915,5.531559524999977,0,1
2022-05-04 10:00:00,-55.85440751465444,-14.970859125000004,0,0
2022-05-04 11:00:00,-82.95408620334561,86.50023622500001,0,1
2022-05-04 12:00:00,-82.7345034742868,101.7100001,0,1
2022-05-04 13:00:00,-82.11899673122792,92.5200001,0,1
2022-05-04 14:00:00,-66.1418711706176,120.70453447500002,0,1
2022-05-04 15:00:00,-36.69476228277946,125.337500075,0,1
2022-05-04 16:00:00,12.047990180191174,-26.969471825,1,0
2022-05-04 17:00:00,34.25509003971326,-41.20249995,1,0
2022-05-04 18:00:00,14.132961219911758,-69.68494610000002,1,0
2022-05-04 19:00:00,6.222650147757356,-59.07664500000001,1,0
2022-05-04 20:00:00,1.8918631926249987,-375.2131279,1,0
2022-05-04 21:00:00,-15.118742375566166,-0.5735262750000629,0,1
2022-05-04 22:00:00,-24.626670838573528,-46.63037227500001,0,0
2022-05-04 23:00:00,-16.62807362438972,-58.25140374999998,0,0
2022-05-05 00:00:00,-10.672776444029422,-1.3823741000000211,0,0
2022-05-05 01:00:00,-13.59881491766177,-42.81846432499998,0,0
2022-05-05 02:00:00,-13.267482438632378,-65.89312177499997,0,0
2022-05-05 03:00:00,-11.557994819360305,-69.14254597499996,0,0
2022-05-05 04:00:00,-4.82759589410295,-69.03980427500002,0,0
2022-05-05 05:00:00,-19.62117319289706,-68.190711975,0,0
2022-05-05 06:00:00,10.073858542514696,-64.093602575,1,0
2022-05-05 07:00:00,41.90455451808092,-38.001237275,1,0
2022-05-05 08:00:00,-4.129919165713234,25.879276525000023,0,1
