,Uplift Account 1 (€/MWh),RES,Load,Mandatory Hydro,Total FRR,Total_imports,Total_epxorts,Day_ahead_Balancing_diff,Holidays,IsWeekend
2022-05-01 00:00:00,7.190630187499999,1480.0,3741.0,0.0,896.0,0.0,321.0,60.98505075,1,1
2022-05-01 01:00:00,9.1640023075,1530.0,3621.5,0.0,906.0,0.0,512.0,-153.89749990000004,1,1
2022-05-01 02:00:00,9.2722397175,1585.0,3546.5,0.0,906.0,0.0,510.0,-202.3808372,1,1
2022-05-01 03:00:00,8.837912532499999,1655.0,3516.0,13.0,906.0,2.0,460.0,-111.37845744999998,1,1
2022-05-01 04:00:00,8.880369025,1705.0,3491.0,81.0,1091.0,0.0,419.0,-119.081815875,1,1
2022-05-01 05:00:00,9.053331445,1810.0,3537.5,171.0,1321.0,0.0,287.0,-119.70839925,1,1
2022-05-01 06:00:00,8.783511117500002,2145.0,3868.5,193.0,1426.0,0.0,466.0,-131.29838422500004,1,1
2022-05-01 07:00:00,7.78988901,2680.0,4369.5,168.0,1416.0,0.0,510.0,-144.97022035,1,1
2022-05-01 08:00:00,7.09734128,3300.0,4816.0,113.0,1461.0,0.0,460.0,-145.440539725,1,1
2022-05-01 09:00:00,5.7695286725,3805.0,5174.5,50.0,1511.0,37.0,529.0,-148.7999999,1,1
2022-05-01 10:00:00,5.5879829525,4125.0,5356.5,30.0,1521.0,164.0,406.0,-151.8478229,1,1
2022-05-01 11:00:00,5.461190645,4280.0,5377.5,23.0,1581.0,173.0,481.0,-160.57567625,1,1
2022-05-01 12:00:00,5.5139342575,4255.0,5160.0,21.0,1616.0,189.0,516.0,-157.65904875,1,1
2022-05-01 13:00:00,4.497353595,4045.0,4779.5,26.0,1616.0,187.0,594.0,-161.607118875,1,1
2022-05-01 14:00:00,4.605807335,3690.0,4481.0,13.0,1641.0,162.0,676.0,-185.454629675,1,1
2022-05-01 15:00:00,6.4858763925,3200.0,4357.5,8.0,1666.0,141.0,654.0,-211.56516039999997,1,1
2022-05-01 16:00:00,6.3973026375,2610.0,4386.5,34.0,1701.0,114.0,589.0,-182.15842917499992,1,1
2022-05-01 17:00:00,6.7685266275,2050.0,4520.5,198.5,1671.0,47.0,363.0,-173.28589624999998,1,1
2022-05-01 18:00:00,6.976134399999999,1705.0,4839.5,494.0,1601.0,1.0,167.0,-98.800665275,1,1
2022-05-01 19:00:00,8.30153537,1645.0,5172.0,682.0,1581.0,0.0,72.0,-132.26384892499996,1,1
2022-05-01 20:00:00,7.374452935000001,1690.0,5072.5,518.5,1571.0,0.0,254.0,49.00061897500001,1,1
2022-05-01 21:00:00,8.2414582975,1710.0,4656.5,158.0,1596.0,0.0,230.0,-36.097865249999984,1,1
2022-05-01 22:00:00,8.742628315,1750.0,4179.5,0.0,1616.0,0.0,456.0,-95.68698095000002,1,1
2022-05-01 23:00:00,9.33407153,1840.0,3876.5,0.0,1271.0,0.0,314.0,-146.97499989999997,1,1
2022-05-02 00:00:00,10.07937755,1970.0,3745.0,0.0,941.0,0.0,141.0,-287.5099999,0,0
2022-05-02 01:00:00,8.691603585,2080.0,3632.0,0.0,956.0,12.0,163.0,-182.34011372499995,0,0
2022-05-02 02:00:00,8.273230985,2180.0,3567.0,15.0,966.0,8.0,197.0,-135.005999175,0,0
2022-05-02 03:00:00,8.659075225,2240.0,3526.0,43.0,976.0,28.0,216.0,-140.83424957499997,0,0
2022-05-02 04:00:00,9.014147745,2260.0,3527.0,116.0,1171.0,26.0,422.0,-140.82184140000004,0,0
2022-05-02 05:00:00,9.7136835375,2335.0,3604.5,211.0,1466.0,3.0,490.0,-138.44861562500003,0,0
2022-05-02 06:00:00,11.6312351925,2505.0,3814.5,233.0,1596.0,44.0,469.0,-116.34782602500005,0,0
2022-05-02 07:00:00,9.7637526325,2760.0,4145.0,208.0,1586.0,99.0,376.0,8.719029124999992,0,0
2022-05-02 08:00:00,7.994751300000001,3035.0,4501.0,153.0,1596.0,68.0,354.0,24.80627910000001,0,0
2022-05-02 09:00:00,8.8109795325,3265.0,4740.5,90.0,1581.0,81.0,252.0,-62.44029182499997,0,0
2022-05-02 10:00:00,9.1510436125,3405.0,4899.5,50.0,1581.0,27.0,235.0,-117.81798645,0,0
2022-05-02 11:00:00,8.5516953275,3400.0,4919.0,23.0,1631.0,42.0,213.0,-112.66453670000004,0,0
2022-05-02 12:00:00,8.377041785,3185.0,4670.5,21.0,1641.0,29.0,170.0,-115.5083361,0,0
2022-05-02 13:00:00,8.736544225000001,2830.0,4380.5,26.0,1616.0,29.0,211.0,-134.74484712499998,0,0
2022-05-02 14:00:00,7.4853728975,2530.0,4268.0,13.0,1636.0,15.0,258.0,-135.77074165000005,0,0
2022-05-02 15:00:00,6.708352382499999,2175.0,4336.0,48.0,1676.0,3.0,246.0,-116.20468282499996,0,0
2022-05-02 16:00:00,7.531824069999999,1805.0,4544.5,144.0,1731.0,0.0,221.0,-119.164855075,0,0
2022-05-02 17:00:00,6.731772775,1485.0,4809.0,338.5,1696.0,0.0,506.0,-146.03402649999998,0,0
2022-05-02 18:00:00,7.3425339675,1285.0,5131.5,634.0,1651.0,0.0,230.0,-104.89756717499996,0,0
2022-05-02 19:00:00,8.0043694625,1175.0,5375.5,802.0,1631.0,0.0,92.0,-3.1774998999999866,0,0
2022-05-02 20:00:00,9.4622720275,1090.0,5257.5,618.5,1601.0,1.0,1.0,-69.54356849999999,0,0
2022-05-02 21:00:00,9.74205591,1020.0,4848.0,248.0,1621.0,0.0,322.0,-58.5346644,0,0
2022-05-02 22:00:00,9.38477622,960.0,4327.0,40.0,1641.0,0.0,513.0,-38.311285475000005,0,0
2022-05-02 23:00:00,8.337679677499999,935.0,4025.5,0.0,1261.0,0.0,293.0,99.802804075,0,0
2022-05-03 00:00:00,9.1272107475,920.0,3805.0,0.0,896.0,0.0,0.0,27.667749774999976,0,0
2022-05-03 01:00:00,9.8812678625,910.0,3723.5,0.0,906.0,2.0,2.0,-86.56839615000001,0,0
2022-05-03 02:00:00,8.2549563625,925.0,3688.0,0.0,896.0,3.0,3.0,-87.0669986,0,0
2022-05-03 03:00:00,8.266232225,940.0,3704.5,13.0,911.0,2.0,2.0,-88.80686012500001,0,0
2022-05-03 04:00:00,8.4136259325,975.0,3850.5,101.0,1091.0,1.0,1.0,-97.99615435,0,0
2022-05-03 05:00:00,7.669824957499999,1070.0,4200.5,250.0,1266.0,0.0,0.0,-111.32458117500002,0,0
2022-05-03 06:00:00,7.146197519999999,1310.0,4711.0,330.0,1361.0,0.0,0.0,-87.6212634,0,0
