iter	Passed	Remaining
0	1	15896
1	5	20733
2	7	20240
3	9	19634
4	12	19555
5	14	18895
6	16	18358
7	17	17889
8	20	18340
9	23	18592
10	25	18576
11	28	18640
12	29	18384
13	31	18154
14	35	18765
15	37	18718
16	40	18795
17	42	18725
18	44	18720
19	46	18600
20	48	18447
21	51	18593
22	53	18567
23	56	18662
24	58	18723
25	60	18590
26	62	18450
27	64	18491
28	66	18414
29	69	18349
30	71	18384
31	73	18395
32	75	18307
33	77	18203
34	79	18186
35	82	18183
36	84	18113
37	86	18143
38	89	18287
39	91	18203
40	93	18117
41	96	18309
42	98	18238
43	100	18200
44	103	18285
45	105	18232
46	107	18159
47	109	18090
48	111	18145
49	113	18074
50	115	17988
51	117	18025
52	120	18060
53	122	18041
54	124	17978
55	127	18016
56	128	17955
57	130	17899
58	133	17914
59	135	17933
60	137	17933
61	139	17898
62	142	17907
63	144	17862
64	145	17816
65	147	17765
66	149	17749
67	151	17705
68	153	17671
69	155	17666
70	157	17636
71	159	17591
72	161	17550
73	163	17506
74	165	17506
75	167	17467
76	169	17431
77	171	17422
78	173	17385
79	175	17349
80	177	17309
81	178	17276
82	180	17262
83	183	17284
84	185	17296
85	187	17290
86	190	17306
87	192	17275
88	193	17242
89	196	17262
90	198	17268
91	201	17292
92	203	17268
93	205	17267
94	207	17235
95	208	17207
96	210	17182
97	213	17203
98	216	17264
99	218	17259
100	220	17245
101	222	17213
102	224	17189
103	226	17176
104	228	17203
105	231	17243
106	233	17224
107	235	17212
108	237	17182
109	239	17154
110	241	17137
111	243	17160
112	246	17186
113	248	17168
114	250	17168
115	252	17173
116	254	17176
117	256	17160
118	259	17167
119	261	17201
120	263	17180
121	265	17156
122	267	17135
123	269	17118
124	271	17098
125	273	17073
126	275	17098
127	277	17081
128	279	17065
129	281	17043
130	283	17022
131	285	16998
132	287	16980
133	288	16960
134	291	17001
135	293	16982
136	295	16977
137	297	16961
138	299	16941
139	301	16929
140	303	16909
141	305	16907
142	308	16922
143	310	16925
144	312	16936
145	314	16937
146	317	16944
147	319	16957
148	322	16970
149	324	16957
150	325	16938
151	327	16918
152	329	16900
153	331	16884
154	333	16861
155	335	16883
156	337	16867
157	339	16857
158	341	16850
159	343	16835
160	345	16819
161	347	16804
162	349	16788
163	351	16800
164	353	16783
165	355	16773
