,Imbalance Price  (€/MWh),Day_ahead_price
2021-08-15 00:00:00,38.0365670475,95.16
2021-08-15 01:00:00,23.803718415,103.16
2021-08-15 02:00:00,25.17870695,91.91
2021-08-15 03:00:00,0.01,77.0
2021-08-15 04:00:00,17.8274999975,83.8
2021-08-15 05:00:00,37.320917005,85.49
2021-08-15 06:00:00,32.928622950000005,83.8
2021-08-15 07:00:00,60.0541877525,91.93
2021-08-15 08:00:00,45.5084738375,104.92
2021-08-15 09:00:00,13.4018927475,91.9
2021-08-15 10:00:00,0.005,85.49
2021-08-15 11:00:00,13.984282125,86.81
2021-08-15 12:00:00,14.8922246025,86.81
2021-08-15 13:00:00,52.789420705,85.9
2021-08-15 14:00:00,87.60062224500001,84.03
2021-08-15 15:00:00,107.465381025,85.49
2021-08-15 16:00:00,144.823818825,89.22
2021-08-15 17:00:00,130.597986925,95.44
2021-08-15 18:00:00,132.27990898,104.06
2021-08-15 19:00:00,85.61730865,104.92
2021-08-15 20:00:00,75.44102088,105.14
2021-08-15 21:00:00,71.8359671725,125.44
2021-08-15 22:00:00,74.5166357375,132.63
2021-08-15 23:00:00,56.56926696499999,113.0
2021-08-16 00:00:00,65.196768945,109.93
2021-08-16 01:00:00,69.82949450250001,91.93
2021-08-16 02:00:00,42.477564445,83.91
2021-08-16 03:00:00,40.009999975,75.12
2021-08-16 04:00:00,58.4366763225,75.05
2021-08-16 05:00:00,65.86274722,79.94
2021-08-16 06:00:00,72.95824383,83.91
2021-08-16 07:00:00,73.3367684675,93.7
2021-08-16 08:00:00,72.7292100775,104.94
2021-08-16 09:00:00,73.1899181225,104.99
2021-08-16 10:00:00,74.765978505,103.16
2021-08-16 11:00:00,72.427087515,101.5
2021-08-16 12:00:00,75.22098230249999,101.5
2021-08-16 13:00:00,73.242248625,104.95
2021-08-16 14:00:00,73.922647255,104.99
2021-08-16 15:00:00,92.13991225,113.0
2021-08-16 16:00:00,87.20730119250001,112.48
2021-08-16 17:00:00,102.667132595,113.0
2021-08-16 18:00:00,132.8565245525,115.82
2021-08-16 19:00:00,145.629853225,130.85
2021-08-16 20:00:00,179.88160345,132.98
2021-08-16 21:00:00,127.748276025,140.91
2021-08-16 22:00:00,133.3678931,122.95
2021-08-16 23:00:00,130.6314367,126.92
2021-08-17 00:00:00,111.5317989525,116.45
2021-08-17 01:00:00,101.1147377225,103.16
2021-08-17 02:00:00,95.39291553749999,101.5
2021-08-17 03:00:00,93.93152276250001,94.25
