,ΑΛΒΑΝΙΑ_IMP,ΒΟΥΛΓΑΡΙΑ_IMP,FYROM_IMP,ΙΤΑΛΙΑ_IMP,ΤΟΥΡΚΙΑ_IMP,TOTAL IMPORTS,ΑΛΒΑΝΙΑ_EXP,ΒΟΥΛΓΑΡΙΑ_EXP,FYROM_EXP,ΙΤΑΛΙΑ_EXP,ΤΟΥΡΚΙΑ_EXP,TOTAL EXPORTS,EXPORTS-IMPORTS
2021-08-15 00:00:00,0,229,2,0,368,599,482,0,51,0,0,533,-66
2021-08-15 01:00:00,0.0,246.0,140.0,0.0,349.0,735.0,337.0,0.0,0.0,0.0,0.0,337.0,-398.0
2021-08-15 02:00:00,0.0,294.0,233.0,0.0,370.0,897.0,315.0,0.0,0.0,0.0,0.0,315.0,-582.0
2021-08-15 03:00:00,0.0,335.0,306.0,0.0,400.0,1041.0,295.0,0.0,0.0,0.0,0.0,295.0,-746.0
2021-08-15 04:00:00,0.0,355.0,332.0,0.0,409.0,1096.0,293.0,0.0,0.0,0.0,0.0,293.0,-803.0
2021-08-15 05:00:00,0.0,360.0,342.0,0.0,418.0,1120.0,294.0,0.0,0.0,0.0,0.0,294.0,-826.0
2021-08-15 06:00:00,0.0,356.0,326.0,0.0,418.0,1100.0,297.0,0.0,0.0,0.0,0.0,297.0,-803.0
2021-08-15 07:00:00,0.0,303.0,157.0,0.0,422.0,882.0,420.0,0.0,0.0,0.0,0.0,420.0,-462.0
2021-08-15 08:00:00,0.0,234.0,8.0,0.0,358.0,600.0,553.0,0.0,22.0,0.0,0.0,575.0,-25.0
2021-08-15 09:00:00,0.0,175.0,0.0,0.0,302.0,477.0,687.0,0.0,218.0,0.0,0.0,905.0,428.0
2021-08-15 10:00:00,0.0,161.0,0.0,0.0,289.0,450.0,682.0,0.0,249.0,0.0,0.0,931.0,481.0
2021-08-15 11:00:00,0.0,149.0,0.0,0.0,276.0,425.0,694.0,0.0,271.0,0.0,0.0,965.0,540.0
2021-08-15 12:00:00,0.0,141.0,0.0,0.0,263.0,404.0,693.0,0.0,286.0,0.0,0.0,979.0,575.0
2021-08-15 13:00:00,0.0,150.0,0.0,0.0,263.0,413.0,669.0,0.0,253.0,0.0,0.0,922.0,509.0
2021-08-15 14:00:00,0.0,145.0,0.0,0.0,274.0,419.0,669.0,0.0,267.0,0.0,0.0,936.0,517.0
2021-08-15 15:00:00,0.0,128.0,0.0,0.0,270.0,398.0,690.0,0.0,299.0,0.0,0.0,989.0,591.0
2021-08-15 16:00:00,0.0,62.0,0.0,0.0,239.0,301.0,755.0,0.0,435.0,0.0,0.0,1190.0,889.0
2021-08-15 17:00:00,0.0,51.0,0.0,0.0,221.0,272.0,732.0,0.0,442.0,0.0,0.0,1174.0,902.0
2021-08-15 18:00:00,0.0,22.0,0.0,0.0,203.0,225.0,727.0,0.0,478.0,0.0,0.0,1205.0,980.0
2021-08-15 19:00:00,0.0,50.0,0.0,0.0,215.0,265.0,676.0,0.0,414.0,0.0,0.0,1090.0,825.0
2021-08-15 20:00:00,0.0,94.0,0.0,0.0,246.0,340.0,670.0,0.0,364.0,0.0,0.0,1034.0,694.0
2021-08-15 21:00:00,0.0,93.0,0.0,0.0,307.0,400.0,604.0,0.0,315.0,0.0,0.0,919.0,519.0
2021-08-15 22:00:00,0.0,84.0,0.0,0.0,301.0,385.0,602.0,0.0,301.0,0.0,0.0,903.0,518.0
2021-08-15 23:00:00,0.0,184.0,0.0,0.0,400.0,584.0,530.0,0.0,125.0,0.0,0.0,655.0,71.0
2021-08-16 00:00:00,0,187,1,0,357,545,517,0,109,0,0,626,81
2021-08-16 01:00:00,0.0,282.0,212.0,0.0,391.0,885.0,304.0,0.0,0.0,0.0,0.0,304.0,-581.0
2021-08-16 02:00:00,0.0,268.0,184.0,0.0,372.0,824.0,344.0,0.0,0.0,0.0,0.0,344.0,-480.0
2021-08-16 03:00:00,0.0,290.0,271.0,0.0,401.0,962.0,298.0,0.0,0.0,0.0,0.0,298.0,-664.0
2021-08-16 04:00:00,0.0,280.0,274.0,0.0,388.0,942.0,280.0,0.0,0.0,0.0,0.0,280.0,-662.0
2021-08-16 05:00:00,0.0,257.0,260.0,0.0,358.0,875.0,278.0,0.0,0.0,0.0,0.0,278.0,-597.0
2021-08-16 06:00:00,0.0,204.0,147.0,0.0,299.0,650.0,349.0,0.0,0.0,0.0,0.0,349.0,-301.0
2021-08-16 07:00:00,0.0,131.0,16.0,0.0,267.0,414.0,380.0,0.0,7.0,0.0,0.0,387.0,-27.0
2021-08-16 08:00:00,0.0,30.0,0.0,0.0,169.0,199.0,348.0,0.0,121.0,0.0,0.0,469.0,270.0
2021-08-16 09:00:00,0.0,27.0,0.0,0.0,220.0,247.0,389.0,0.0,179.0,0.0,0.0,568.0,321.0
2021-08-16 10:00:00,0.0,49.0,0.0,0.0,236.0,285.0,469.0,0.0,230.0,0.0,0.0,699.0,414.0
2021-08-16 11:00:00,0.0,62.0,0.0,0.0,259.0,321.0,501.0,0.0,259.0,0.0,0.0,760.0,439.0
2021-08-16 12:00:00,0.0,74.0,0.0,0.0,272.0,346.0,500.0,0.0,245.0,0.0,0.0,745.0,399.0
2021-08-16 13:00:00,0.0,79.0,0.0,0.0,282.0,361.0,448.0,0.0,202.0,0.0,0.0,650.0,289.0
2021-08-16 14:00:00,0.0,101.0,0.0,0.0,314.0,415.0,419.0,0.0,162.0,0.0,0.0,581.0,166.0
2021-08-16 15:00:00,0.0,115.0,0.0,0.0,337.0,452.0,414.0,0.0,158.0,0.0,0.0,572.0,120.0
2021-08-16 16:00:00,0.0,115.0,0.0,0.0,305.0,420.0,273.0,0.0,74.0,0.0,0.0,347.0,-73.0
2021-08-16 17:00:00,0.0,167.0,5.0,0.0,397.0,569.0,238.0,0.0,15.0,0.0,0.0,253.0,-316.0
2021-08-16 18:00:00,0.0,219.0,95.0,0.0,470.0,784.0,143.0,0.0,0.0,0.0,0.0,143.0,-641.0
2021-08-16 19:00:00,0.0,230.0,128.0,0.0,451.0,809.0,114.0,0.0,0.0,0.0,0.0,114.0,-695.0
2021-08-16 20:00:00,0.0,229.0,114.0,0.0,448.0,791.0,133.0,0.0,0.0,0.0,0.0,133.0,-658.0
2021-08-16 21:00:00,0.0,234.0,119.0,0.0,471.0,824.0,120.0,0.0,0.0,0.0,0.0,120.0,-704.0
2021-08-16 22:00:00,0.0,243.0,140.0,0.0,474.0,857.0,140.0,0.0,0.0,0.0,0.0,140.0,-717.0
2021-08-16 23:00:00,0.0,326.0,261.0,0.0,556.0,1143.0,154.0,0.0,0.0,0.0,0.0,154.0,-989.0
2021-08-17 00:00:00,0,353,293,0,492,1138,204,0,0,0,0,204,-934
2021-08-17 01:00:00,0.0,369.0,379.0,0.0,441.0,1189.0,169.0,0.0,0.0,0.0,0.0,169.0,-1020.0
2021-08-17 02:00:00,0.0,337.0,307.0,0.0,464.0,1108.0,221.0,0.0,0.0,0.0,0.0,221.0,-887.0
2021-08-17 03:00:00,0.0,336.0,327.0,0.0,456.0,1119.0,228.0,0.0,0.0,0.0,0.0,228.0,-891.0
2021-08-17 04:00:00,0.0,330.0,355.0,0.0,427.0,1112.0,204.0,0.0,0.0,0.0,0.0,204.0,-908.0
2021-08-17 05:00:00,0.0,328.0,369.0,0.0,415.0,1112.0,200.0,0.0,0.0,0.0,0.0,200.0,-912.0
2021-08-17 06:00:00,0.0,293.0,326.0,0.0,416.0,1035.0,209.0,0.0,0.0,0.0,0.0,209.0,-826.0
2021-08-17 07:00:00,0.0,210.0,181.0,0.0,371.0,762.0,228.0,0.0,0.0,0.0,0.0,228.0,-534.0
2021-08-17 08:00:00,0.0,192.0,142.0,0.0,360.0,694.0,195.0,0.0,0.0,0.0,0.0,195.0,-499.0
2021-08-17 09:00:00,0.0,220.0,122.0,0.0,396.0,738.0,197.0,0.0,0.0,0.0,0.0,197.0,-541.0
2021-08-17 10:00:00,0.0,236.0,139.0,0.0,402.0,777.0,212.0,0.0,0.0,0.0,0.0,212.0,-565.0
2021-08-17 11:00:00,0.0,223.0,149.0,0.0,399.0,771.0,194.0,0.0,0.0,0.0,0.0,194.0,-577.0
2021-08-17 12:00:00,0.0,265.0,200.0,0.0,469.0,934.0,176.0,0.0,0.0,0.0,0.0,176.0,-758.0
2021-08-17 13:00:00,0.0,278.0,229.0,0.0,492.0,999.0,124.0,0.0,0.0,0.0,0.0,124.0,-875.0
2021-08-17 14:00:00,0.0,277.0,216.0,0.0,506.0,999.0,143.0,0.0,0.0,0.0,0.0,143.0,-856.0
2021-08-17 15:00:00,0.0,284.0,228.0,0.0,509.0,1021.0,168.0,0.0,0.0,0.0,0.0,168.0,-853.0
2021-08-17 16:00:00,0.0,308.0,283.0,0.0,504.0,1095.0,134.0,0.0,0.0,0.0,0.0,134.0,-961.0
2021-08-17 17:00:00,0.0,317.0,305.0,0.0,493.0,1115.0,123.0,0.0,0.0,0.0,0.0,123.0,-992.0
2021-08-17 18:00:00,5.0,343.0,383.0,0.0,546.0,1277.0,16.0,0.0,0.0,0.0,0.0,16.0,-1261.0
2021-08-17 19:00:00,0.0,335.0,325.0,0.0,546.0,1206.0,47.0,0.0,0.0,0.0,0.0,47.0,-1159.0
2021-08-17 20:00:00,0.0,308.0,283.0,0.0,491.0,1082.0,65.0,0.0,0.0,0.0,0.0,65.0,-1017.0
2021-08-17 21:00:00,0.0,317.0,279.0,0.0,535.0,1131.0,70.0,0.0,0.0,0.0,0.0,70.0,-1061.0
2021-08-17 22:00:00,0.0,335.0,232.0,0.0,523.0,1090.0,192.0,0.0,0.0,0.0,0.0,192.0,-898.0
2021-08-17 23:00:00,0.0,382.0,335.0,0.0,544.0,1261.0,175.0,0.0,0.0,0.0,0.0,175.0,-1086.0
2021-08-18 00:00:00,0,379,353,0,506,1238,169,0,0,0,0,169,-1069
2021-08-18 01:00:00,0.0,376.0,350.0,0.0,523.0,1249.0,226.0,0.0,0.0,0.0,0.0,226.0,-1023.0
2021-08-18 02:00:00,0.0,370.0,340.0,0.0,497.0,1207.0,263.0,0.0,0.0,0.0,0.0,263.0,-944.0
2021-08-18 03:00:00,0.0,384.0,404.0,0.0,501.0,1289.0,242.0,0.0,0.0,0.0,0.0,242.0,-1047.0
2021-08-18 04:00:00,0.0,393.0,444.0,0.0,481.0,1318.0,210.0,0.0,0.0,0.0,0.0,210.0,-1108.0
2021-08-18 05:00:00,0.0,367.0,439.0,0.0,439.0,1245.0,176.0,0.0,0.0,0.0,0.0,176.0,-1069.0
2021-08-18 06:00:00,0.0,340.0,411.0,0.0,405.0,1156.0,182.0,0.0,0.0,0.0,0.0,182.0,-974.0
2021-08-18 07:00:00,0.0,243.0,253.0,0.0,358.0,854.0,176.0,0.0,0.0,0.0,0.0,176.0,-678.0
