,RES,Load,Mandatory Hydro,Total FRR,Diff_direction
0,1820.0,5515.5,50.0,914.0,1
1,1930.0,5299.0,50.0,939.0,1
2,2000.0,5127.5,50.0,949.0,1
3,2035.0,5038.0,63.0,939.0,1
4,2055.0,4951.5,76.0,1079.0,1
5,2105.0,4880.5,117.5,1384.0,1
6,2435.0,5053.5,185.0,1474.0,1
7,3055.0,5346.5,213.0,1499.0,1
8,3715.0,5646.5,200.0,1479.0,1
9,4145.0,6011.5,168.0,1459.0,1
10,4375.0,6282.0,152.0,1454.0,1
11,4470.0,6417.0,151.0,1444.0,1
12,4440.0,6393.5,130.0,1409.0,1
13,4300.0,6289.0,111.0,1399.0,1
14,4020.0,6247.5,161.0,1449.0,0
15,3580.0,6261.5,346.0,1499.0,0
16,2925.0,6275.5,668.0,1544.0,0
17,2165.0,6240.5,1004.0,1574.0,0
18,1635.0,6299.0,1314.0,1629.0,0
19,1455.0,6630.5,1476.5,1624.0,1
20,1345.0,6651.0,1399.0,1584.0,1
21,1265.0,6377.0,1051.0,1614.0,1
22,1235.0,5977.0,616.5,1584.0,1
23,1230.0,5565.0,263.5,1224.0,1
24,1260.0,5244.0,76.0,864.0,1
25,1315.0,5080.5,76.0,889.0,1
26,1365.0,4965.0,76.0,914.0,1
27,1405.0,4940.5,89.0,909.0,1
28,1430.0,4987.0,102.0,1119.0,1
29,1510.0,5231.0,151.5,1414.0,1
30,1825.0,5839.0,235.5,1444.0,1
31,2420.0,6507.5,272.0,1379.0,1
32,3065.0,7025.0,259.0,1349.0,1
33,3510.0,7282.5,227.0,1319.0,1
34,3740.0,7516.5,211.0,1319.0,1
35,3805.0,7752.0,205.0,1329.0,1
36,3755.0,7861.0,184.0,1324.0,1
37,3590.0,7751.5,170.0,1274.0,1
38,3270.0,7557.0,220.0,1379.0,1
39,2765.0,7413.5,405.0,1444.0,1
40,2045.0,7325.0,727.0,1539.0,1
41,1265.0,7194.5,1063.0,1569.0,1
42,740.0,7164.0,1398.0,1564.0,0
43,595.0,7275.0,1585.5,1574.0,0
44,540.0,7113.5,1483.0,1529.0,0
45,490.0,6654.5,1110.0,1574.0,1
46,465.0,6264.5,675.5,1494.0,0
47,450.0,5774.5,312.0,1159.0,0
48,460.0,5408.0,114.0,834.0,1
49,500.0,5208.0,114.0,859.0,1
50,545.0,5100.5,114.0,884.0,1
51,565.0,5085.0,127.0,914.0,1
52,555.0,5131.5,140.0,1079.0,0
53,605.0,5392.0,155.0,1344.0,1
54,900.0,5993.5,287.5,1404.0,0
55,1465.0,6717.0,405.0,1344.0,1
56,2045.0,7286.5,392.0,1294.0,1
57,2465.0,7614.0,351.0,1289.0,1
58,2705.0,7869.5,264.0,1304.0,1
59,2815.0,8133.5,173.0,1324.0,1
60,2825.0,8175.0,154.0,1279.0,1
61,2720.0,8024.0,167.0,1274.0,1
62,2490.0,7779.5,169.5,1374.0,1
63,2065.0,7595.5,316.5,1439.0,1
64,1450.0,7528.0,584.5,1504.0,1
65,845.0,7455.0,915.5,1534.0,1
66,510.0,7360.5,1298.0,1544.0,0
67,450.0,7403.5,1467.0,1544.0,0
68,445.0,7234.0,1377.5,1474.0,0
69,425.0,6741.5,928.0,1549.0,0
70,405.0,6403.0,409.5,1584.0,1
71,380.0,5998.0,166.5,1224.0,1
72,360.0,5731.5,76.0,864.0,1
73,365.0,5521.0,76.0,879.0,1
74,365.0,5372.0,76.0,899.0,1
75,360.0,5300.5,89.0,894.0,1
76,350.0,5331.0,102.0,1069.0,1
77,375.0,5525.0,117.0,1369.0,1
78,690.0,6060.5,249.5,1434.0,1
79,1235.0,6738.0,386.0,1369.0,1
80,1815.0,7292.0,392.0,1354.0,1
