,Total Activated Balancing Energy UP (MWh),Total Activated Balancing Energy Down (MWh),Total Activated Balancing Energy (MWh),Imbalance Price  (€/MWh),mFRR Price UP (€/MWh),mFRR Price Down (€/MWh),Uplift Account 1 (€/MWh),Uplift Account 2 (€/MWh),Uplift Account 3 (€/MWh),Unnamed: 13,Unnamed: 14
2021-08-09 00:00:00,145.52516,132.21917,13.30599,125.6339352,0.0,55.91,4.29853308,1.16328463,5.56002306,,
2021-08-09 00:15:00,75.99048,68.31657,7.67391,140.4071753,122.26,56.01,4.44284056,1.17128008,4.1032129,,
2021-08-09 00:30:00,51.49773,75.86168,-24.36395,53.17479852,0.0,56.01,3.97916375,1.13794826,2.65961918,,
2021-08-09 00:45:00,66.25723,98.52136,-32.26413,55.28219552,0.0,56.21,4.00014155,1.14947293,2.96422287,,
2021-08-09 01:00:00,24.80705,26.71724,-1.91019,73.73166543,0.0,77.52,3.66455625,1.09837347,0.59045057,,
2021-08-09 01:15:00,16.57891,43.1539,-26.57499,72.4091483,0.0,77.5,3.64814023,1.10772776,0.395859,,
2021-08-09 01:30:00,22.02007,69.28449,-47.26442,74.31028323,0.0,75.34,3.69923455,1.00656606,0.38209155,,
2021-08-09 01:45:00,25.80361,83.31705,-57.51344,74.30462056,0.0,75.34,3.71951175,1.01725516,0.4805036,,
2021-08-09 02:00:00,20.76027,62.91907,-42.1588,0.0,132.73,0.0,3.02404952,0.97429329,1.94770934,,
2021-08-09 02:15:00,19.63507,58.76827,-39.1332,0.0,0.0,0.0,3.03089754,0.93015594,1.49670658,,
2021-08-09 02:30:00,19.83991,62.75347,-42.91356,74.65669667,0.0,75.15,3.41750015,0.96258809,0.33396006,,
2021-08-09 02:45:00,19.68479,68.31367,-48.62888,0.0,0.0,0.0,3.07237897,0.96259221,1.44655646,,
2021-08-09 03:00:00,19.37011,42.73857,-23.36846,42.54853601,0.0,42.83,2.96210738,0.91648449,0.72844847,,
2021-08-09 03:15:00,32.37073,60.95788,-28.58715,42.82999999,0.0,42.83,2.97125851,0.92662859,1.38278705,,
2021-08-09 03:30:00,38.00099,62.59762,-24.59663,42.82999999,0.0,42.83,2.97982289,0.93919286,1.63831855,,
2021-08-09 03:45:00,45.29575,71.8018,-26.50605,42.83,0.0,42.83,2.98825,0.95506315,1.91041435,,
2021-08-09 04:00:00,28.23013,57.8576,-29.62747,56.39681777,0.0,77.5,3.06319021,0.90928991,0.8523668,,
2021-08-09 04:15:00,42.73321,77.01259,-34.27938,57.40209295,0.0,68.11,3.01560874,0.9117879,1.34865388,,
