,RES,Load,Mandatory Hydro,Total FRR
2021-08-15 00:00:00,1750.0,5742.0,50.0,894.0
2021-08-15 00:30:00,1790.0,5575.0,50.0,904.0
2021-08-15 01:00:00,1850.0,5456.0,50.0,924.0
2021-08-15 01:30:00,1910.0,5347.0,50.0,924.0
2021-08-15 02:00:00,1950.0,5251.0,50.0,954.0
2021-08-15 02:30:00,1990.0,5167.0,50.0,954.0
2021-08-15 03:00:00,2010.0,5088.0,50.0,944.0
2021-08-15 03:30:00,2030.0,5038.0,50.0,944.0
2021-08-15 04:00:00,2040.0,5038.0,76.0,934.0
2021-08-15 04:30:00,2050.0,4988.0,76.0,944.0
2021-08-15 05:00:00,2060.0,4915.0,76.0,1214.0
2021-08-15 05:30:00,2070.0,4865.0,76.0,1314.0
2021-08-15 06:00:00,2140.0,4896.0,159.0,1454.0
2021-08-15 06:30:00,2310.0,4981.0,159.0,1474.0
2021-08-15 07:00:00,2560.0,5126.0,211.0,1474.0
2021-08-15 07:30:00,2870.0,5266.0,211.0,1494.0
2021-08-15 08:00:00,3240.0,5427.0,215.0,1504.0
2021-08-15 08:30:00,3570.0,5571.0,215.0,1504.0
2021-08-15 09:00:00,3860.0,5722.0,185.0,1454.0
2021-08-15 09:30:00,4070.0,5932.0,185.0,1454.0
2021-08-15 10:00:00,4220.0,6091.0,151.0,1464.0
2021-08-15 10:30:00,4340.0,6231.0,151.0,1464.0
2021-08-15 11:00:00,4410.0,6333.0,153.0,1444.0
2021-08-15 11:30:00,4460.0,6403.0,153.0,1444.0
2021-08-15 12:00:00,4480.0,6431.0,149.0,1444.0
2021-08-15 12:30:00,4460.0,6431.0,149.0,1424.0
2021-08-15 13:00:00,4420.0,6356.0,111.0,1394.0
2021-08-15 13:30:00,4350.0,6307.0,111.0,1384.0
2021-08-15 14:00:00,4250.0,6271.0,111.0,1414.0
2021-08-15 14:30:00,4110.0,6250.0,111.0,1414.0
2021-08-15 15:00:00,3930.0,6245.0,211.0,1484.0
2021-08-15 15:30:00,3710.0,6251.0,211.0,1494.0
2021-08-15 16:00:00,3450.0,6272.0,481.0,1504.0
2021-08-15 16:30:00,3120.0,6292.0,481.0,1574.0
2021-08-15 17:00:00,2730.0,6259.0,855.0,1514.0
2021-08-15 17:30:00,2350.0,6262.0,855.0,1594.0
2021-08-15 18:00:00,1980.0,6219.0,1153.0,1554.0
2021-08-15 18:30:00,1720.0,6246.0,1153.0,1624.0
2021-08-15 19:00:00,1550.0,6352.0,1475.0,1634.0
2021-08-15 19:30:00,1480.0,6546.0,1475.0,1634.0
2021-08-15 20:00:00,1430.0,6715.0,1478.0,1614.0
2021-08-15 20:30:00,1370.0,6713.0,1478.0,1594.0
2021-08-15 21:00:00,1320.0,6589.0,1320.0,1574.0
2021-08-15 21:30:00,1280.0,6446.0,1320.0,1624.0
2021-08-15 22:00:00,1250.0,6308.0,782.0,1604.0
2021-08-15 22:30:00,1230.0,6109.0,782.0,1564.0
2021-08-15 23:00:00,1240.0,5845.0,451.0,1604.0
2021-08-15 23:30:00,1240.0,5672.0,451.0,1594.0
2021-08-16 00:00:00,1220.0,5458.0,76.0,854.0
2021-08-16 00:30:00,1250.0,5299.0,76.0,854.0
2021-08-16 01:00:00,1270.0,5189.0,76.0,874.0
2021-08-16 01:30:00,1300.0,5107.0,76.0,864.0
2021-08-16 02:00:00,1330.0,5054.0,76.0,914.0
2021-08-16 02:30:00,1360.0,4994.0,76.0,914.0
2021-08-16 03:00:00,1370.0,4936.0,76.0,914.0
2021-08-16 03:30:00,1390.0,4935.0,76.0,914.0
2021-08-16 04:00:00,1420.0,4946.0,102.0,904.0
2021-08-16 04:30:00,1430.0,4957.0,102.0,954.0
2021-08-16 05:00:00,1430.0,5017.0,102.0,1284.0
2021-08-16 05:30:00,1470.0,5137.0,102.0,1394.0
2021-08-16 06:00:00,1550.0,5325.0,201.0,1434.0
2021-08-16 06:30:00,1710.0,5628.0,201.0,1484.0
2021-08-16 07:00:00,1940.0,6050.0,270.0,1404.0
2021-08-16 07:30:00,2240.0,6340.0,270.0,1384.0
2021-08-16 08:00:00,2600.0,6675.0,274.0,1374.0
2021-08-16 08:30:00,2920.0,6955.0,274.0,1364.0
2021-08-16 09:00:00,3210.0,7095.0,244.0,1334.0
2021-08-16 09:30:00,3430.0,7218.0,244.0,1324.0
2021-08-16 10:00:00,3590.0,7347.0,210.0,1314.0
2021-08-16 10:30:00,3710.0,7466.0,210.0,1314.0
2021-08-16 11:00:00,3770.0,7567.0,212.0,1324.0
2021-08-16 11:30:00,3800.0,7687.0,212.0,1334.0
2021-08-16 12:00:00,3810.0,7817.0,198.0,1324.0
2021-08-16 12:30:00,3780.0,7876.0,198.0,1334.0
2021-08-16 13:00:00,3730.0,7846.0,170.0,1314.0
2021-08-16 13:30:00,3650.0,7795.0,170.0,1274.0
2021-08-16 14:00:00,3530.0,7708.0,170.0,1274.0
2021-08-16 14:30:00,3370.0,7597.0,170.0,1334.0
2021-08-16 15:00:00,3170.0,7517.0,270.0,1424.0
2021-08-16 15:30:00,2920.0,7441.0,270.0,1444.0
2021-08-16 16:00:00,2610.0,7386.0,540.0,1444.0
2021-08-16 16:30:00,2250.0,7341.0,540.0,1574.0
2021-08-16 17:00:00,1840.0,7309.0,914.0,1504.0
2021-08-16 17:30:00,1450.0,7245.0,914.0,1604.0
2021-08-16 18:00:00,1080.0,7144.0,1212.0,1534.0
2021-08-16 18:30:00,820.0,7131.0,1212.0,1574.0
2021-08-16 19:00:00,660.0,7197.0,1584.0,1554.0
2021-08-16 19:30:00,610.0,7276.0,1584.0,1574.0
2021-08-16 20:00:00,580.0,7274.0,1587.0,1574.0
2021-08-16 20:30:00,550.0,7273.0,1587.0,1524.0
2021-08-16 21:00:00,530.0,6954.0,1379.0,1534.0
2021-08-16 21:30:00,500.0,6729.0,1379.0,1614.0
2021-08-16 22:00:00,480.0,6580.0,841.0,1534.0
2021-08-16 22:30:00,470.0,6385.0,841.0,1494.0
2021-08-16 23:00:00,460.0,6144.0,510.0,1494.0
2021-08-16 23:30:00,460.0,5920.0,510.0,1474.0
2021-08-17 00:00:00,440.0,5629.0,114.0,844.0
2021-08-17 00:30:00,450.0,5464.0,114.0,834.0
2021-08-17 01:00:00,470.0,5352.0,114.0,834.0
2021-08-17 01:30:00,490.0,5249.0,114.0,834.0
2021-08-17 02:00:00,510.0,5167.0,114.0,884.0
2021-08-17 02:30:00,530.0,5116.0,114.0,884.0
2021-08-17 03:00:00,560.0,5085.0,114.0,884.0
2021-08-17 03:30:00,570.0,5085.0,114.0,894.0
2021-08-17 04:00:00,560.0,5085.0,140.0,934.0
2021-08-17 04:30:00,560.0,5116.0,140.0,954.0
2021-08-17 05:00:00,550.0,5147.0,140.0,1204.0
2021-08-17 05:30:00,580.0,5280.0,140.0,1294.0
2021-08-17 06:00:00,630.0,5504.0,170.0,1394.0
2021-08-17 06:30:00,780.0,5807.0,170.0,1454.0
2021-08-17 07:00:00,1020.0,6180.0,405.0,1354.0
2021-08-17 07:30:00,1300.0,6542.0,405.0,1344.0
2021-08-17 08:00:00,1630.0,6892.0,405.0,1344.0
2021-08-17 08:30:00,1920.0,7182.0,405.0,1304.0
2021-08-17 09:00:00,2170.0,7391.0,379.0,1284.0
2021-08-17 09:30:00,2380.0,7549.0,379.0,1284.0
2021-08-17 10:00:00,2550.0,7679.0,323.0,1294.0
2021-08-17 10:30:00,2670.0,7799.0,323.0,1294.0
2021-08-17 11:00:00,2740.0,7940.0,205.0,1314.0
2021-08-17 11:30:00,2800.0,8072.0,205.0,1324.0
2021-08-17 12:00:00,2830.0,8195.0,141.0,1324.0
2021-08-17 12:30:00,2840.0,8195.0,141.0,1284.0
2021-08-17 13:00:00,2810.0,8155.0,167.0,1274.0
2021-08-17 13:30:00,2760.0,8074.0,167.0,1274.0
2021-08-17 14:00:00,2680.0,7974.0,167.0,1274.0
2021-08-17 14:30:00,2570.0,7834.0,167.0,1314.0
2021-08-17 15:00:00,2410.0,7725.0,172.0,1434.0
2021-08-17 15:30:00,2200.0,7628.0,172.0,1434.0
2021-08-17 16:00:00,1930.0,7563.0,461.0,1444.0
2021-08-17 16:30:00,1620.0,7529.0,461.0,1524.0
2021-08-17 17:00:00,1280.0,7527.0,708.0,1484.0
2021-08-17 17:30:00,980.0,7493.0,708.0,1574.0
2021-08-17 18:00:00,710.0,7417.0,1123.0,1494.0
2021-08-17 18:30:00,540.0,7370.0,1123.0,1594.0
2021-08-17 19:00:00,480.0,7351.0,1473.0,1494.0
2021-08-17 19:30:00,450.0,7373.0,1473.0,1574.0
2021-08-17 20:00:00,450.0,7434.0,1461.0,1514.0
2021-08-17 20:30:00,450.0,7434.0,1461.0,1474.0
2021-08-17 21:00:00,440.0,7034.0,1294.0,1474.0
2021-08-17 21:30:00,430.0,6788.0,1294.0,1524.0
2021-08-17 22:00:00,420.0,6695.0,562.0,1574.0
2021-08-17 22:30:00,410.0,6531.0,562.0,1574.0
2021-08-17 23:00:00,400.0,6275.0,257.0,1594.0
2021-08-17 23:30:00,390.0,6049.0,257.0,1594.0
2021-08-18 00:00:00,370.0,5947.0,76.0,854.0
2021-08-18 00:30:00,360.0,5793.0,76.0,864.0
2021-08-18 01:00:00,360.0,5670.0,76.0,864.0
2021-08-18 01:30:00,360.0,5567.0,76.0,864.0
2021-08-18 02:00:00,370.0,5475.0,76.0,894.0
2021-08-18 02:30:00,370.0,5403.0,76.0,894.0
2021-08-18 03:00:00,360.0,5341.0,76.0,904.0
2021-08-18 03:30:00,360.0,5301.0,76.0,904.0
2021-08-18 04:00:00,360.0,5300.0,102.0,884.0
2021-08-18 04:30:00,360.0,5300.0,102.0,914.0
2021-08-18 05:00:00,340.0,5362.0,102.0,1224.0
2021-08-18 05:30:00,340.0,5444.0,102.0,1304.0
2021-08-18 06:00:00,410.0,5606.0,132.0,1434.0
2021-08-18 06:30:00,570.0,5869.0,132.0,1474.0
2021-08-18 07:00:00,810.0,6252.0,367.0,1394.0
2021-08-18 07:30:00,1080.0,6573.0,367.0,1384.0
2021-08-18 08:00:00,1390.0,6903.0,405.0,1354.0
2021-08-18 08:30:00,1680.0,7203.0,405.0,1354.0
2021-08-18 09:00:00,1950.0,7381.0,379.0,1354.0
2021-08-18 09:30:00,2160.0,7540.0,379.0,1354.0
2021-08-18 10:00:00,2320.0,7680.0,343.0,1354.0
2021-08-18 10:30:00,2450.0,7790.0,343.0,1354.0
2021-08-18 11:00:00,2530.0,7941.0,243.0,1474.0
2021-08-18 11:30:00,2590.0,8064.0,243.0,1484.0
2021-08-18 12:00:00,2640.0,8166.0,179.0,1494.0
2021-08-18 12:30:00,2680.0,8217.0,179.0,1494.0
2021-08-18 13:00:00,2670.0,8197.0,205.0,1484.0
2021-08-18 13:30:00,2630.0,8138.0,205.0,1484.0
2021-08-18 14:00:00,2560.0,8038.0,205.0,1464.0
2021-08-18 14:30:00,2450.0,7938.0,205.0,1524.0
2021-08-18 15:00:00,2310.0,7830.0,210.0,1574.0
2021-08-18 15:30:00,2110.0,7784.0,210.0,1574.0
2021-08-18 16:00:00,1870.0,7790.0,499.0,1574.0
2021-08-18 16:30:00,1580.0,7766.0,499.0,1644.0
2021-08-18 17:00:00,1250.0,7713.0,746.0,1624.0
2021-08-18 17:30:00,950.0,7637.0,746.0,1724.0
2021-08-18 18:00:00,690.0,7551.0,1141.0,1624.0
2021-08-18 18:30:00,520.0,7524.0,1141.0,1684.0
2021-08-18 19:00:00,440.0,7556.0,1523.0,1614.0
2021-08-18 19:30:00,400.0,7568.0,1523.0,1664.0
2021-08-18 20:00:00,410.0,7578.0,1511.0,1574.0
2021-08-18 20:30:00,410.0,7588.0,1511.0,1594.0
2021-08-18 21:00:00,390.0,7290.0,1294.0,1574.0
2021-08-18 21:30:00,380.0,7075.0,1294.0,1594.0
2021-08-18 22:00:00,370.0,6952.0,562.0,1654.0
2021-08-18 22:30:00,370.0,6777.0,562.0,1654.0
2021-08-18 23:00:00,370.0,6552.0,257.0,1654.0
2021-08-18 23:30:00,370.0,6275.0,257.0,1654.0
2021-08-19 00:00:00,420.0,6014.0,76.0,874.0
2021-08-19 00:30:00,450.0,5853.0,76.0,884.0
2021-08-19 01:00:00,500.0,5723.0,76.0,884.0
2021-08-19 01:30:00,570.0,5609.0,76.0,884.0
2021-08-19 02:00:00,670.0,5500.0,76.0,904.0
2021-08-19 02:30:00,760.0,5383.0,76.0,914.0
2021-08-19 03:00:00,850.0,5286.0,76.0,904.0
2021-08-19 03:30:00,930.0,5262.0,76.0,904.0
2021-08-19 04:00:00,1010.0,5264.0,102.0,894.0
2021-08-19 04:30:00,1080.0,5265.0,102.0,924.0
2021-08-19 05:00:00,1130.0,5300.0,102.0,1254.0
2021-08-19 05:30:00,1200.0,5401.0,102.0,1324.0
2021-08-19 06:00:00,1290.0,5602.0,132.0,1474.0
2021-08-19 06:30:00,1460.0,5868.0,132.0,1494.0
2021-08-19 07:00:00,1690.0,6211.0,367.0,1484.0
2021-08-19 07:30:00,1980.0,6554.0,367.0,1464.0
2021-08-19 08:00:00,2320.0,6856.0,367.0,1444.0
2021-08-19 08:30:00,2630.0,7086.0,367.0,1444.0
2021-08-19 09:00:00,2920.0,7226.0,379.0,1444.0
2021-08-19 09:30:00,3120.0,7441.0,379.0,1444.0
2021-08-19 10:00:00,3260.0,7591.0,343.0,1464.0
2021-08-19 10:30:00,3350.0,7728.0,343.0,1494.0
2021-08-19 11:00:00,3380.0,7854.0,243.0,1594.0
2021-08-19 11:30:00,3390.0,7969.0,243.0,1594.0
2021-08-19 12:00:00,3350.0,8063.0,191.0,1654.0
2021-08-19 12:30:00,3320.0,8088.0,191.0,1654.0
2021-08-19 13:00:00,3240.0,8043.0,205.0,1584.0
2021-08-19 13:30:00,3150.0,7973.0,205.0,1584.0
2021-08-19 14:00:00,3040.0,7906.0,205.0,1614.0
2021-08-19 14:30:00,2900.0,7842.0,205.0,1624.0
2021-08-19 15:00:00,2740.0,7769.0,209.0,1674.0
2021-08-19 15:30:00,2540.0,7749.0,209.0,1674.0
2021-08-19 16:00:00,2310.0,7712.0,461.0,1664.0
2021-08-19 16:30:00,2030.0,7671.0,461.0,1724.0
2021-08-19 17:00:00,1720.0,7613.0,708.0,1704.0
2021-08-19 17:30:00,1430.0,7527.0,708.0,1784.0
2021-08-19 18:00:00,1180.0,7397.0,1123.0,1664.0
2021-08-19 18:30:00,1000.0,7386.0,1123.0,1714.0
2021-08-19 19:00:00,900.0,7463.0,1473.0,1654.0
2021-08-19 19:30:00,890.0,7453.0,1473.0,1644.0
2021-08-19 20:00:00,900.0,7455.0,1461.0,1664.0
2021-08-19 20:30:00,890.0,7324.0,1461.0,1684.0
2021-08-19 21:00:00,890.0,7068.0,1294.0,1664.0
2021-08-19 21:30:00,880.0,6848.0,1294.0,1644.0
2021-08-19 22:00:00,880.0,6687.0,562.0,1754.0
2021-08-19 22:30:00,880.0,6502.0,562.0,1754.0
2021-08-19 23:00:00,880.0,6260.0,257.0,1754.0
2021-08-19 23:30:00,890.0,6037.0,257.0,1754.0
2021-08-20 00:00:00,890.0,5962.0,76.0,904.0
2021-08-20 00:30:00,930.0,5775.0,76.0,924.0
2021-08-20 01:00:00,990.0,5629.0,76.0,914.0
2021-08-20 01:30:00,1040.0,5526.0,76.0,924.0
2021-08-20 02:00:00,1090.0,5429.0,76.0,924.0
2021-08-20 02:30:00,1130.0,5320.0,76.0,924.0
2021-08-20 03:00:00,1150.0,5214.0,76.0,914.0
2021-08-20 03:30:00,1190.0,5162.0,76.0,914.0
2021-08-20 04:00:00,1230.0,5162.0,102.0,914.0
2021-08-20 04:30:00,1250.0,5145.0,102.0,924.0
2021-08-20 05:00:00,1260.0,5219.0,156.0,1354.0
2021-08-20 05:30:00,1300.0,5325.0,156.0,1414.0
